procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 607528  85876 425360    0    0    50    71  310  648  8  1 90  0  0
 1  0      0 606712  85900 425396    0    0     4   204 1074 2142 50  2 47  0  0
 1  0      0 597904  85916 425396    0    0     0   172 1392 2376 50  3 47  0  0
 1  0      0 595792  85940 425404    0    0     0   192 1229 2088 46  3 50  0  0
 1  0      0 595608  85964 425404    0    0     0   376 1000 1883 23  3 74  0  0
 1  0      0 595484  86004 425400    0    0     4   164  697 1377  5  1 94  0  0
 0  0      0 595484  86020 425408    0    0     0   156  563 1193  3  1 96  1  0
 0  0      0 595580  86060 425412    0    0     0  6532  691 1767  4  2 93  1  0
 0  0      0 595580  86084 425416    0    0     0  2252  628 1425  5  1 94  0  0
 0  0      0 595580  86084 425416    0    0     0     0  610 1226  4  1 96  0  0
 0  0      0 595580  86092 425416    0    0     0    20  606 1256  4  0 96  1  0
 0  0      0 595580  86092 425416    0    0     0     0  532 1153  2  1 97  0  0
 0  0      0 595580  86116 425392    0    0     0   176  605 1234  4  0 95  0  0
 3  0      0 595580  86116 425416    0    0     0     0  497 1091  2  1 97  0  0
 0  0      0 595580  86124 425416    0    0     0    20  566 1202  3  1 96  0  0
 0  0      0 595456  86156 425416    0    0     0   192  614 1367  4  1 94  2  0
 0  0      0 595456  86156 425416    0    0     0     0  581 1188  3  0 97  0  0
 0  0      0 595456  86180 425416    0    0     0   176  598 1256  4  0 95  0  0
 0  0      0 595456  86180 425416    0    0     0     0  580 1214  4  1 96  0  0
 0  0      0 595456  86180 425416    0    0     0    44  631 1264  3  1 97  0  0
 0  0      0 595456  86188 425408    0    0     0    56  644 1286  4  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 595456  86188 425420    0    0     0     0  603 1243  2  1 97  0  0
 0  0      0 595456  86212 425420    0    0     0   176  548 1110  3  1 96  0  0
 0  0      0 595456  86212 425420    0    0     0     0  498 1035  3  0 97  0  0
 0  0      0 595456  86220 425420    0    0     0    28  495 1129  3  0 97  1  0
 0  0      0 595140  86252 425412    0    0     4   208  623 1341  6  1 93  1  0
 1  0      0 595140  86252 425424    0    0     0     0  558 1173  3  1 96  0  0
 0  0      0 595140  86292 425408    0    0     0   308  713 1417  6  1 93  0  0
 1  0      0 595140  86292 425424    0    0     0     0  485 1068  3  1 96  0  0
 3  0      0 595140  86316 425424    0    0     0   304  555 1236  3  1 96  1  0
 1  0      0 595140  86324 425416    0    0     0    20  566 1185  3  1 95  1  0
 0  0      0 595132  86332 425432    0    0     0    20  592 1187  4  0 96  0  0
 0  0      0 595132  86356 425432    0    0     0   276  627 1308  3  0 97  0  0
 0  0      0 595132  86356 425432    0    0     0     0  526 1099  2  1 97  0  0
 1  0      0 595132  86364 425432    0    0     0    20  586 1131  4  1 95  1  0
 1  0      0 594760  86396 425428    0    0     0   652  642 1220  4  1 95  1  0
 2  0      0 594792  86396 425436    0    0     0     0  551 1098  3  0 97  0  0
 0  0      0 594792  86420 425436    0    0     0   176  647 1304  3  1 96  1  0
 1  0      0 594792  86420 425436    0    0     0     0  561 1179  3  0 97  0  0
 0  0      0 594792  86420 425436    0    0     0     0  538 1197  3  1 97  0  0
 0  0      0 594792  86428 425436    0    0     0    20  515 1163  4  1 95  0  0
 0  0      0 594792  86428 425436    0    0     0     0  511 1117  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 594792  86452 425436    0    0     0   176  677 1371  2  1 96  1  0
 1  0      0 594792  86452 425436    0    0     0     0  603 1191  3  1 97  0  0
 0  0      0 594792  86460 425436    0    0     0    20  595 1225  4  1 95  1  0
 0  0      0 594700  86492 425440    0    0     0   192  664 1374  4  1 94  1  0
 0  0      0 594700  86492 425440    0    0     0     0  597 1178  4  0 96  0  0
 0  0      0 594700  86516 425440    0    0     0   176  586 1227  3  1 96  1  0
 0  0      0 594700  86516 425440    0    0     0     0  499 1049  2  1 98  0  0
 0  0      0 594700  86516 425440    0    0     0     0  522 1112  4  1 96  0  0
 0  0      0 594700  86524 425432    0    0     0    20  490 1094  4  1 95  0  0
 0  0      0 594700  86524 425444    0    0     0     0  470 1041  3  1 97  0  0
 2  0      0 594700  86548 425436    0    0     0   176  559 1149  2  1 96  1  0
 0  0      0 594700  86548 425444    0    0     0     0  520 1098  2  1 97  0  0
 1  0      0 594700  86556 425448    0    0     4    24  521 1135  3  0 97  1  0
 0  0      0 594576  86588 425448    0    0     0   256  716 1449  5  1 93  1  0
 0  0      0 594576  86596 425448    0    0     0    20  491 1066  2  0 98  0  0
 0  0      0 594576  86636 425448    0    0     0   304  654 1228  6  1 93  1  0
 0  0      0 594640  86636 425448    0    0     0     0  791 1364 12  2 86  0  0
 1  0      0 594640  86636 425448    0    0     0     0  738 1289  9  1 90  0  0
