procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 460988 134636 437956    0    0    27    79  317  655  8  1 90  0  0
 1  0      0 452212 134660 437960    0    0     0   132 1413 2614 49  4 47  1  0
 2  0      0 451376 134660 437960    0    0     0     0 1209 2087 49  2 49  0  0
 1  0      0 451232 134660 437988    0    0     0     0 1459 2596 39  3 58  0  0
 0  0      0 450984 134660 437988    0    0     0     0  621 1274  2  2 96  0  0
 1  0      0 450984 134708 437992    0    0     4   340  689 1385  5  0 94  1  0
 0  0      0 450984 134716 437992    0    0     0    20  598 1225  5  1 94  0  0
 0  0      0 450984 134716 437992    0    0     0     0  516 1064  2  0 98  0  0
 1  0      0 450984 134748 437996    0    0     4   556  663 1369  5  1 94  1  0
 0  0      0 450984 134756 437996    0    0     0    20  618 1273  3  1 96  1  0
 0  0      0 450860 134780 437988    0    0     0   240  636 1306  3  1 96  0  0
 0  0      0 450736 134796 438000    0    0     0    36  616 1300  6  1 94  0  0
 0  0      0 450736 134796 438000    0    0     0     0  506 1139  2  1 97  0  0
 0  0      0 450736 134820 438000    0    0     0   276  568 1159  4  1 96  1  0
 0  0      0 450612 134820 438000    0    0     0     0  590 1100  2  0 98  0  0
 0  0      0 450612 134844 438000    0    0     0    52  566 1069  3  1 96  1  0
 0  0      0 450644 134852 438000    0    0     0    20  598 1115  3  1 96  1  0
 0  0      0 450644 134852 438000    0    0     0     0  499 1018  3  0 97  0  0
 0  0      0 450676 134876 438000    0    0     0   436  608 1214  3  2 95  1  0
 0  0      0 450676 134876 438000    0    0     0     0  517  974  2  0 98  0  0
 0  0      0 450676 134876 438000    0    0     0     0  406 1018  3  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 450484 134884 438004    0    0     4    24  764 1353 11  2 87  0  0
 1  0      0 450516 134892 438008    0    0     4    44  718 1526 15  2 83  0  0
 0  0      0 450516 134892 438008    0    0     0     0  612 1232  3  1 96  0  0
 0  0      0 450392 134916 438008    0    0     0   356  633 1328  3  1 96  1  0
 0  0      0 450392 134940 438016    0    0     4    60  659 1298  5  0 94  0  0
 0  0      0 450392 134956 438020    0    0     4    40  615 1144  3  1 95  0  0
 0  0      0 450392 134972 438016    0    0     0   296  549 1142  3  1 97  0  0
 0  0      0 450328 135004 438024    0    0     0  3680  682 1298  4  1 95  1  0
 1  0      0 450328 135004 438024    0    0     0     0  554 1152  3  0 97  0  0
 0  0      0 450328 135004 438024    0    0     0     0  470 1038  2  1 97  0  0
 0  0      0 450328 135012 438024    0    0     0    20  595 1161  5  1 94  0  0
 0  0      0 450328 135012 438024    0    0     0   356  529 1140  2  1 96  1  0
 0  0      0 450328 135036 438016    0    0     0   204  579 1248  3  0 96  1  0
 1  0      0 450328 135036 438024    0    0     0     0  582 1226  3  1 96  0  0
 0  0      0 450328 135052 438024    0    0     0    36  559 1186  5  0 95  0  0
 0  0      0 450328 135060 438024    0    0     0    20  669 1343  4  1 95  0  0
 0  0      0 450328 135060 438024    0    0     0     0  584 1152  3  1 96  0  0
 0  0      0 450328 135092 438028    0    0     4   360  645 1313  4  1 94  1  0
 3  0      0 450328 135100 438020    0    0     0    20  576 1183  3  1 96  0  0
 0  0      0 450328 135124 438032    0    0     0   240  567 1219  3  1 96  1  0
 0  0      0 450328 135140 438032    0    0     0    36  655 1286  5  1 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 450328 135140 438032    0    0     0     0  547 1166  2  0 98  0  0
 0  0      0 450328 135164 438032    0    0     0   276  537 1211  4  1 95  1  0
 0  0      0 450204 135164 438032    0    0     0     0  673 1353  5  1 95  0  0
 1  0      0 450260 135172 438048    0    0     0    20 1088 2070 39  3 59  0  0
 0  0      0 450260 135188 438048    0    0     0    68  697 1436 12  1 88  0  0
 0  0      0 450260 135188 438048    0    0     0     0  539 1175  3  1 96  0  0
 0  0      0 450260 135212 438048    0    0     0   340  606 1301  4  1 95  1  0
 0  0      0 450260 135212 438048    0    0     0     0  584 1260  3  2 96  0  0
 0  0      0 450260 135212 438048    0    0     0     0  551 1197  3  0 97  0  0
 0  0      0 450260 135220 438048    0    0     0    20  617 1260  4  1 95  0  0
 0  0      0 450260 135220 438048    0    0     0     0  446 1032  2  1 97  0  0
 0  0      0 450260 135244 438052    0    0     0   184  489 1078  2  2 96  1  0
 1  0      0 450168 135244 438052    0    0     0     0  612 1145  2  1 97  0  0
 0  0      0 450168 135252 438056    0    0     4    24  590 1147  3  2 95  1  0
 0  0      0 450168 135260 438056    0    0     0    20  635 1198  3  1 95  1  0
 0  0      0 450168 135260 438056    0    0     0     0  532 1134  3  0 97  0  0
 0  0      0 450168 135284 438032    0    0     0   360  669 1347  3  1 96  1  0
 0  0      0 450168 135284 438056    0    0     0     0  664 1338  3  1 97  0  0
