procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 389076 177808 455132    0    0    17    83  319  656  8  1 90  0  0
 1  0      0 389340 177820 455108    0    0     0  1456  620 1364  3  1 97  0  0
 0  0      0 389340 177832 455132    0    0     4    64  615 1307  3  0 97  1  0
 0  0      0 389372 177840 455124    0    0     4    28  893 1536 11  2 87  0  0
 0  0      0 389404 177844 455136    0    0     0    56  701 1330  4  1 95  0  0
 1  0      0 380628 177844 455136    0    0     0    24 1014 1966 50  3 47  0  0
 1  0      0 371884 177844 455136    0    0     0     0 1250 2162 46  4 49  0  0
 2  0      0 371420 177844 455140    0    0     0     0 1322 2429 47  4 49  0  0
 0  0      0 371144 177852 455156    0    0     0    68 1257 2293 29  2 68  0  0
 0  0      0 371144 177860 455148    0    0     0   540  667 1416  2  0 98  1  0
 0  0      0 371144 177864 455156    0    0     0    36  620 1254  3  1 96  0  0
 0  0      0 371020 177868 455152    0    0     0   160  577 1255  1  1 98  1  0
 0  0      0 371052 177884 455164    0    0     8   152  707 1394  4  0 95  1  0
 0  0      0 371052 177900 455148    0    0     0    76  641 1321  4  1 96  0  0
 0  0      0 371052 177904 455164    0    0     0    76  579 1263  4  1 96  0  0
 0  0      0 371052 177908 455160    0    0     0    64  596 1260  3  2 95  1  0
 1  0      0 370804 177920 455172    0    0     4    96  659 1366  6  1 94  0  0
 0  0      0 370804 177936 455172    0    0     0    76  496 1175  3  1 95  1  0
 1  0      0 370836 177944 455172    0    0     0    88 1081 1919 32  3 65  0  0
 0  0      0 370868 177952 455172    0    0     0   144  675 1355  7  1 92  1  0
 0  0      0 370868 177968 455168    0    0     4    96  633 1176  4  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 370868 177972 455176    0    0     0  1892  531 1078  3  1 96  1  0
 0  0      0 370836 177996 455176    0    0     0  2464  598 1412  3  2 95  0  0
 0  0      0 370836 177996 455176    0    0     0     0  553 1165  3  1 96  0  0
 0  0      0 370836 178004 455168    0    0     0    20  518 1109  4  1 95  1  0
 0  0      0 370836 178008 455176    0    0     0    20  519 1080  3  1 97  0  0
 0  0      0 370712 178020 455164    0    0     0   276  603 1205  3  1 96  0  0
 0  0      0 370712 178028 455180    0    0     0    20  541 1125  2  1 97  1  0
 0  0      0 370712 178028 455180    0    0     0     0  532 1118  3  1 97  0  0
 0  0      0 370712 178028 455180    0    0     0     0  451 1085  2  1 97  0  0
 0  0      0 370712 178036 455180    0    0     0    20  498 1061  4  0 96  0  0
 0  0      0 370712 178040 455176    0    0     0   192  496 1113  3  1 96  0  0
 0  0      0 370712 178044 455180    0    0     0    20  425 1017  3  0 97  1  0
 0  0      0 370712 178044 455180    0    0     0     0  474 1048  2  0 98  0  0
 0  0      0 370744 178048 455180    0    0     0    20  551 1085  3  1 96  0  0
 1  0      0 370744 178056 455180    0    0     0    20  649 1263  6  1 93  0  0
 0  0      0 370620 178060 455180    0    0     0   616  608 1237  3  0 97  1  0
 0  0      0 370620 178060 455180    0    0     0    20  527 1136  3  0 97  0  0
 0  0      0 370428 178060 455180    0    0     0     0  558 1154  3  1 96  0  0
 1  0      0 370428 178060 455180    0    0     0     0  573 1203  4  1 96  0  0
 0  0      0 370428 178060 455180    0    0     0    20  554 1061  3  2 95  1  0
 0  0      0 370428 178060 455180    0    0     0   160  462 1087  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 370428 178064 455180    0    0     0    20  563 1114  3  1 97  0  0
 0  0      0 370428 178064 455180    0    0     0    20  520 1128  4  1 95  1  0
 0  0      0 370428 178068 455180    0    0     4    24  531 1018  4  1 95  0  0
 0  0      0 370428 178076 455188    0    0     0    20  565 1110  4  1 94  1  0
 0  0      0 370552 178084 455188    0    0     0    20  592 1227  5  1 94  1  0
 1  0      0 370552 178092 455188    0    0     0    20  652 1281  5  1 94  0  0
 0  1      0 370552 178092 455188    0    0     0   256  622 1255  3  1 96  1  0
 0  0      0 370552 178104 455188    0    0     0   296  624 1299  4  1 95  0  0
 0  0      0 370552 178108 455188    0    0     0    20  584 1192  4  1 95  0  0
 0  1      0 370552 178108 455188    0    0     0   112  484 1107  2  1 97  1  0
 0  0      0 370552 178124 455188    0    0     0   248  568 1252  2  1 97  0  0
 0  0      0 370584 178124 455188    0    0     0     0  539 1156  2  1 97  0  0
 0  0      0 370584 178132 455188    0    0     0    20  581 1178  4  1 95  1  0
 0  0      0 370584 178140 455188    0    0     0    20  574 1209  3  1 97  0  0
 0  1      0 370460 178140 455188    0    0     0    96  537 1187  3  1 96  0  0
 1  0      0 370460 178152 455188    0    0     0   144  557 1065  3  1 97  1  0
 2  0      0 370460 178152 455188    0    0     0     0  581 1197  2  2 97  0  0
 0  0      0 370460 178152 455188    0    0     0     0  496 1024  2  1 97  0  0
