procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   4620 204764 260004 419056    0    0     8    73  304  630  7  1 92  0  0
 1  0   4620 196112 260012 419064    0    0     0   108 1229 2217 48  4 47  1  0
 1  0   4620 194864 260012 419068    0    0     0     0 1489 2809 45  5 50  0  0
 1  0   4620 194808 260016 419124    0    0     0    68 1280 2278 33  2 64  1  0
 0  0   4620 194808 260016 419124    0    0     0     0  558 1161  3  1 96  0  0
 0  0   4620 194808 260024 419128    0    0     4    60  579 1194  5  1 94  0  0
 0  0   4620 194648 260028 419128    0    0     4    44  725 1308  9  1 90  0  0
 3  0   4620 194648 260028 419132    0    0     0     0  494 1062  2  0 98  0  0
 0  0   4620 194648 260028 419132    0    0     0   764  609 1119  2  1 96  1  0
 2  0   4620 194648 260028 419132    0    0     0     0  463  990  2  0 98  0  0
 0  0   4620 194648 260028 419132    0    0     0     0  549 1018  3  0 97  0  0
 0  0   4620 194648 260028 419132    0    0     0    20  541 1169  3  1 96  1  0
 0  0   4620 194600 260028 419132    0    0     0     0  540 1194  3  1 96  0  0
 0  0   4620 194648 260040 419132    0    0     0   208  618 1312  4  1 95  1  0
 0  0   4620 194648 260044 419128    0    0     4    80  530 1082  2  1 97  0  0
 0  0   4620 194584 260064 419136    0    0     0  4096  612 1416  3  1 96  1  0
 0  0   4620 194460 260072 419128    0    0     0    60  599 1230  5  1 95  0  0
 0  0   4620 194460 260072 419140    0    0     0     0  573 1167  2  1 98  0  0
 0  0   4620 194460 260076 419136    0    0     0   176  559 1181  4  0 96  1  0
 0  0   4620 194460 260076 419140    0    0     0     0  506 1115  3  1 97  0  0
 0  0   4620 194460 260076 419140    0    0     0   532  573 1125  3  1 96  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   4620 194460 260076 419140    0    0     0    40  626 1275  3  1 96  0  0
 0  0   4620 194592 260076 419140    0    0     0     0  586 1250  2  2 96  0  0
 0  0   4620 194584 260084 419132    0    0     0   192  654 1351  3  2 95  1  0
 2  0   4620 194584 260092 419140    0    0     0    20  590 1219  3  1 96  0  0
 0  0   4620 194584 260096 419136    0    0     0   272  556 1116  3  0 96  1  0
 0  0   4620 194616 260096 419140    0    0     0    36  649 1264  4  2 94  0  0
 0  0   4620 194616 260096 419140    0    0     0     0  575 1055  3  1 96  0  0
 0  0   4620 194616 260108 419128    0    0     0   292  583 1181  4  1 95  1  0
 0  0   4620 194616 260108 419140    0    0     0     0  535 1099  3  1 96  0  0
 0  0   4620 194616 260116 419132    0    0     0    20  559 1135  4  1 95  1  0
 0  0   4620 194616 260116 419140    0    0     0   268  632 1302  3  1 96  0  0
 1  0   4620 194576 260116 419140    0    0     0     0  679 1260  3  1 96  0  0
 0  0   4620 194616 260120 419144    0    0     4   196  629 1207  4  2 94  1  0
 0  0   4620 194616 260120 419144    0    0     0     0  512  989  3  0 97  0  0
 0  0   4620 194616 260124 419140    0    0     0   176  452 1061  3  1 96  1  0
 4  0   4620 194616 260132 419144    0    0     0   180  506 1146  3  0 97  0  0
 0  0   4620 194616 260132 419144    0    0     0     4  486 1083  3  1 97  0  0
 0  0   4620 194616 260144 419132    0    0     0   204  524 1194  3  0 97  1  0
 1  0   4620 194616 260144 419144    0    0     0     0  544 1113  3  1 97  0  0
 0  0   4620 194616 260144 419144    0    0     0     0  530 1057  2  1 97  0  0
 0  0   4620 194616 260144 419144    0    0     0    20  644 1260  7  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   4620 194648 260144 419144    0    0     0     0  728 1402 16  1 83  0  0
 0  0   4620 194680 260144 419148    0    0     0    68  940 1662 31  2 67  0  0
 0  0   4620 194680 260144 419148    0    0     0     0  574 1179  2  1 97  0  0
 0  0   4620 194680 260144 419152    0    0     0   404  572 1106  3  1 96  1  0
 0  0   4620 194680 260148 419152    0    0     0    20  576 1209  5  0 95  0  0
 0  0   4620 194680 260148 419152    0    0     0     0  539 1136  3  1 96  0  0
 0  0   4620 194680 260148 419152    0    0     0   176  571 1204  3  1 95  1  0
 0  0   4620 194680 260148 419152    0    0     0     0  572 1206  3  1 96  0  0
 0  0   4620 194680 260148 419152    0    0     0     0  560 1195  3  1 97  0  0
 0  0   4620 194680 260156 419144    0    0     4    40  587 1213  3  1 96  1  0
 0  0   4620 194672 260156 419156    0    0     0     0  507 1188  2  1 98  0  0
 0  0   4620 194680 260156 419156    0    0     0   196  607 1241  4  0 96  1  0
 1  0   4620 194680 260156 419156    0    0     0    20  642 1288  4  1 95  0  0
 0  0   4620 194680 260172 419156    0    0     0   404  548 1204  3  1 96  1  0
 0  0   4620 194712 260176 419152    0    0     0    36  630 1307  5  1 94  0  0
 1  0   4620 194712 260176 419156    0    0     0     0  576 1182  2  1 98  0  0
 0  0   4620 194712 260184 419148    0    0     0   292  649 1319  4  1 94  1  0
 0  0   4620 194712 260184 419156    0    0     0     0  591 1131  3  1 97  0  0
