componente_id,nodo_id,num_puntos,prefijo_mayoritario,porcentaje
0,cube0_cluster0,60,WSUT,100.0
1,cube1_cluster0,60,WSUT,100.0
2,cube3_cluster0,59,WLEC,100.0
3,cube13_cluster0,110,WSUT,55.45
3,cube15_cluster0,126,WSUT,54.76
3,cube20_cluster0,111,WSUT,100.0
3,cube19_cluster0,57,WLEC,100.0
3,cube5_cluster0,61,WLEC,100.0
3,cube10_cluster0,75,WLEC,50.67
3,cube16_cluster0,61,WSUT,100.0
3,cube8_cluster0,57,WLEC,100.0
3,cube21_cluster0,56,WSUT,100.0
3,cube12_cluster0,182,WLEC,98.9
4,cube22_cluster0,60,MRS,100.0
4,cube23_cluster0,60,MRS,100.0
5,cube27_cluster0,111,WVAE,100.0
5,cube26_cluster0,94,WVAE,100.0
5,cube33_cluster0,35,WVAE,100.0
5,cube34_cluster0,54,WVAE,100.0
6,cube36_cluster0,60,MRS,100.0
6,cube37_cluster0,179,MRS,100.0
6,cube38_cluster0,68,MRS,100.0
6,cube29_cluster0,62,MRS,100.0
6,cube30_cluster0,78,MRS,100.0
7,cube39_cluster0,60,MRS,100.0
7,cube32_cluster0,120,MRS,100.0
7,cube31_cluster0,60,MRS,100.0
8,cube44_cluster0,57,MRS,100.0
9,cube58_cluster0,57,WVAE,100.0
9,cube48_cluster0,105,WVAE,100.0
10,cube55_cluster0,118,MRS,100.0
10,cube52_cluster0,118,MRS,100.0
10,cube68_cluster0,60,MRS,100.0
10,cube69_cluster0,61,MRS,100.0
10,cube60_cluster0,175,MRS,100.0
10,cube70_cluster0,54,MRS,100.0
10,cube61_cluster0,56,MRS,100.0
10,cube63_cluster0,59,MRS,100.0
11,cube94_cluster0,91,WVAE,100.0
11,cube66_cluster0,113,WVAE,100.0
11,cube92_cluster0,68,WVAE,100.0
11,cube95_cluster0,68,WVAE,100.0
11,cube75_cluster0,117,WVAE,100.0
11,cube84_cluster0,179,WVAE,100.0
11,cube65_cluster0,59,WVAE,100.0
11,cube83_cluster0,124,WVAE,100.0
11,cube110_cluster0,109,WVAE,100.0
11,cube109_cluster0,112,WVAE,100.0
11,cube106_cluster0,112,WVAE,100.0
11,cube73_cluster0,57,WVAE,100.0
11,cube105_cluster0,62,WVAE,100.0
11,cube72_cluster0,119,WVAE,100.0
12,cube100_cluster0,58,MRS,100.0
12,cube117_cluster0,58,MRS,100.0
12,cube90_cluster0,15,MRS,100.0
12,cube139_cluster0,107,MRS,100.0
12,cube81_cluster0,76,MRS,100.0
12,cube120_cluster0,56,MRS,100.0
12,cube128_cluster0,24,MRS,100.0
12,cube102_cluster0,71,MRS,100.0
12,cube91_cluster0,176,MRS,100.0
12,cube103_cluster0,124,MRS,100.0
12,cube104_cluster0,115,MRS,100.0
12,cube129_cluster0,54,MRS,100.0
12,cube116_cluster0,230,MRS,100.0
12,cube121_cluster0,111,MRS,100.0
12,cube115_cluster0,62,MRS,100.0
12,cube78_cluster0,126,MRS,100.0
12,cube101_cluster0,59,MRS,100.0
12,cube140_cluster0,54,MRS,100.0
13,cube98_cluster0,47,MIA,100.0
13,cube88_cluster0,60,MIA,100.0
14,cube96_cluster0,58,MIA,100.0
15,cube125_cluster0,35,MIA,100.0
15,cube108_cluster0,52,MIA,100.0
15,cube126_cluster0,35,MIA,100.0
15,cube107_cluster0,58,MIA,100.0
16,cube111_cluster0,60,MIA,100.0
17,cube124_cluster0,176,WVAE,100.0
18,cube133_cluster0,59,WVAE,100.0
18,cube143_cluster0,59,WVAE,100.0
18,cube132_cluster0,114,WVAE,100.0
18,cube144_cluster0,174,WVAE,100.0
18,cube156_cluster0,37,WVAE,100.0
19,cube168_cluster0,58,MRS,100.0
19,cube171_cluster0,132,MRS,100.0
19,cube151_cluster0,61,MRS,100.0
19,cube170_cluster0,115,MRS,100.0
19,cube172_cluster0,57,MRS,100.0
19,cube189_cluster0,60,MRS,100.0
19,cube185_cluster0,60,MRS,100.0
19,cube167_cluster0,77,MRS,100.0
20,cube157_cluster0,40,WVAE,100.0
20,cube153_cluster0,59,WVAE,100.0
21,cube187_cluster0,60,MRS,100.0
21,cube169_cluster0,106,MRS,100.0
22,cube191_cluster0,126,WVAL,100.0
22,cube192_cluster0,117,WVAL,100.0
22,cube174_cluster0,57,WVAL,100.0
22,cube205_cluster0,121,WVAL,100.0
23,cube196_cluster0,60,MVIV,100.0
23,cube195_cluster0,58,MVIV,100.0
23,cube179_cluster0,59,MVIV,100.0
