procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  19468 201380 270796 365628    0    0     2    56    2   31  4  1 95  0  0
 1  0  19468 198660 270796 365636    0    0     0   104  775 1427 11  2 88  0  0
 1  0  19468 192552 270796 365636    0    0     0     0 1439 2300 50  3 48  0  0
 1  0  19468 183156 270796 365640    0    0     0     0 1166 2049 48  3 49  0  0
 1  0  19468 182444 270796 365652    0    0     0     0 1472 2597 46  4 50  0  0
 0  0  19468 181696 270796 365780    0    0     0    84 1062 2059 22  1 77  1  0
 0  0  19468 181696 270796 365780    0    0     0     0  531 1156  2  1 97  0  0
 0  0  19468 181696 270796 365780    0    0     0    20  529 1069  4  0 96  0  0
 0  0  19468 181696 270796 365816    0    0     4   248  559 1201  3  1 96  1  0
 0  0  19468 181696 270796 365816    0    0     0    20  473 1148  4  1 96  0  0
 0  0  19468 181696 270796 365816    0    0     0   372  532 1191  4  1 95  1  0
 1  0  19468 181696 270796 365816    0    0     0   256  603 1226  4  1 95  0  0
 0  0  19468 181728 270796 365816    0    0     0     0 1132 1938 48  3 50  0  0
 0  0  19468 181760 270796 365816    0    0     0    64  583 1290  5  2 93  0  0
 0  0  19468 181760 270796 365816    0    0     0   504  603 1300  4  1 95  1  0
 1  0  19468 181636 270796 365816    0    0     0     0  478 1201  3  1 96  0  0
 0  0  19468 181444 270796 365820    0    0     4   100  852 1405 15  1 84  1  0
 0  0  19468 181444 270796 365820    0    0     0    20  581 1239  4  1 96  0  0
 0  0  19468 181476 270796 365824    0    0     0   392  630 1378  3  1 95  1  0
 0  0  19468 181476 270796 365824    0    0     0    52  716 1434  6  2 93  0  0
 0  0  19468 181476 270796 365824    0    0     0     0  620 1197  5  0 95  0  0
 1  0  19468 181476 270796 365856    0    0     0   536  642 1312  3  1 96  1  0
 1  0  19468 181444 270796 365856    0    0     0   596  544 1119  3  1 96  1  0
 1  0  19468 181444 270796 365856    0    0     0   176  602 1238  4  1 96  0  0
 0  0  19468 181444 270796 365856    0    0     0     0  575 1154  3  0 96  0  0
 0  0  19468 181444 270796 365856    0    0     0     0  535 1107  2  2 96  0  0
 0  0  19468 181444 270796 365856    0    0     0     0  558 1154  3  1 96  0  0
 0  0  19468 181444 270796 365860    0    0     4    60  580 1104  5  0 94  0  0
 0  0  19468 181444 270796 365864    0    0     4    40  488 1036  2  1 97  0  0
 0  0  19468 181444 270796 365864    0    0     0    20  585  998  5  0 96  0  0
 0  0  19468 181444 270796 365896    0    0     0   536  515 1128  3  0 96  1  0
 0  0  19468 181444 270796 365896    0    0     0    20  518 1079  3  1 96  0  0
 0  0  19468 181444 270796 365896    0    0     0    12  500 1026  3  1 97  0  0
 0  0  19468 181476 270796 365896    0    0     0   188  488 1144  2  1 97  1  0
 1  0  19468 181476 270796 365896    0    0     0     0  560 1122  3  0 96  0  1
 0  0  19468 181476 270796 365896    0    0     0     0  513 1090  3  1 97  0  0
 0  0  19468 181476 270796 365896    0    0     0     0  500 1084  3  0 97  0  0
 0  0  19468 181476 270796 365896    0    0     0    36  519 1026  2  1 97  1  0
 0  0  19468 181476 270796 365904    0    0     4   216  540 1152  3  1 96  0  0
 0  0  19468 181476 270796 365904    0    0     0    20  479 1053  4  1 95  0  0
 0  0  19468 181476 270796 365936    0    0     0   372  510 1048  3  0 96  1  0
 0  0  19468 181476 270796 365936    0    0     0    24  519 1082  4  1 95  0  0
 1  0  19468 181476 270796 365936    0    0     0     0  582 1135  2  1 96  0  0
 0  0  19468 181476 270796 365936    0    0     0    20  529 1045  5  1 95  0  0
 0  0  19468 181476 270796 366000    0    0     0   340  614 1138  3  0 97  1  0
 0  0  19468 181352 270796 366004    0    0     0     0  518 1108  2  1 97  0  0
 0  0  19468 181352 270796 366004    0    0     4    24  532 1166  3  0 96  1  0
 0  0  19468 181352 270796 366004    0    0     0   132  524 1110  4  0 96  0  0
 0  0  19468 181384 270796 366040    0    0     0   340  559 1220  3  1 96  1  0
 0  0  19468 181384 270796 366040    0    0     0    36  625 1291  6  2 92  0  0
 0  0  19468 181384 270796 366040    0    0     0     0  503 1107  3  1 96  0  0
 1  0  19468 181384 270796 366072    0    0     0   276  577 1190  4  1 95  1  0
 0  0  19468 181384 270796 366072    0    0     0    20  528 1087  3  1 96  1  0
 0  0  19468 181384 270796 366104    0    0     0   172  545 1153  3  1 97  0  0
 2  0  19468 181384 270796 366104    0    0     0     0  513 1119  3  1 96  0  0
 0  0  19468 181252 270796 366104    0    0     0     0  455 1112  3  1 96  0  0
 1  0  19468 181260 270796 366104    0    0     0     0  525 1216  3  1 96  0  0
 0  0  19468 181260 270796 366104    0    0     0    36  615 1202  5  1 94  1  0
 2  0  19468 181260 270796 366104    0    0     0     0  532 1039  4  1 96  0  0
 0  0  19468 181260 270796 366104    0    0     0    20  585  985  4  0 95  1  0
