procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  36364 291292  67296 385052    0    4   171   396  398  789 20  2 78  0  0
 1  0  36364 291380  67304 385056    0    0     0    68  692 1222  9  1 90  1  0
 0  0  36364 291380  67312 385048    0    0     0    28  747 1230 10  2 88  0  0
 0  0  36364 291288  67320 385056    0    0     0    40  610 1201  4  1 95  0  0
 0  0  36364 291288  67328 385056    0    0     0    36  581 1180  4  1 94  0  0
 1  0  36364 291288  67344 385040    0    0     0   516  678 1311  3  1 96  0  0
 0  0  36364 291288  67368 385072    0    0     4    68  572 1200  5  0 95  1  0
 0  0  36364 291288  67368 385072    0    0     0     0  987 1880 34  2 65  0  0
 1  0  36364 291384  67376 385080    0    0     0   384  678 1382 16  1 83  0  0
 0  0  36364 291384  67392 385064    0    0     0   392  618 1317  3  1 96  1  0
 1  0  36364 291384  67400 385080    0    0     0    20  666 1352  3  0 97  0  0
 0  0  36364 291384  67408 385072    0    0     0    20  682 1299  6  0 94  0  0
 1  0  36364 291416  67416 385080    0    0     0    20  656 1289  4  1 96  0  0
 1  0  36364 291160  67416 385080    0    0     0     0  572 1193  3  2 96  0  0
 0  0  36364 291168  67424 385080    0    0     0    20  581 1042  5  0 94  0  0
 0  0  36364 291168  67440 385064    0    0     0   288  587 1184  4  1 95  0  0
 1  0  36364 291168  67456 385084    0    0     4    40  549 1131  4  1 96  1  0
 0  0  36364 291168  67480 385068    0    0     0   304  646 1305  4  1 96  1  0
 0  0  36364 291168  67488 385084    0    0     0   172  575 1186  3  1 97  0  0
 0  0  36364 291168  67488 385084    0    0     0     0  552 1187  2  1 97  0  0
 0  0  36364 291168  67488 385084    0    0     0     0  646 1288  4  1 96  0  0
 0  0  36364 291168  67496 385076    0    0     0    20  544 1129  5  0 95  0  0
 2  0  36364 291168  67504 385084    0    0     0    20  579 1195  4  1 96  0  0
 0  0  36364 291168  67504 385084    0    0     0    20  615 1294  4  1 95  0  0
 1  0  36364 291168  67512 385088    0    0     0    44  594 1130  4  1 95  0  0
 0  0  36364 291168  67528 385072    0    0     0   352  611 1076  3  1 96  1  0
 0  0  36364 291168  67544 385112    0    0     0    60  630 1154  5  1 93  0  0
 0  0  36364 291044  67560 385104    0    0     4    40  622 1218  7  1 92  1  0
 0  0  36364 291044  67576 385116    0    0     0   480  552 1167  4  0 96  1  0
 0  0  36364 291044  67600 385100    0    0     0    80  642 1232  7  1 92  0  0
 0  0  36364 291044  67600 385116    0    0     0     0  568 1152  4  1 96  0  0
 0  0  36364 291044  67624 385092    0    0     0   336  587 1171  5  1 95  1  0
 0  0  36364 291076  67632 385116    0    0     0    20  615 1152  4  1 94  0  0
 0  0  36364 290952  67640 385116    0    0     0    24  642 1269  6  0 94  0  0
 0  0  36364 290952  67656 385116    0    0     0    44  641 1243  3  1 96  0  0
 0  0  36364 290952  67672 385100    0    0     0   452  639 1171  5  1 93  0  0
 0  0  36364 290952  67704 385132    0    0     8   108  585 1198  3  1 95  0  0
 0  0  36364 290856  67728 385116    0    0     0  2992  647 1317  3  2 95  0  0
 0  0  36364 290920  67736 385132    0    0     0    20  540 1158  3  0 96  1  0
 2  0  36364 290920  67736 385132    0    0     0     0  530 1109  3  1 96  0  0
 0  0  36364 290920  67736 385132    0    0     0     0  535 1117  3  1 96  0  0
 0  0  36364 290920  67744 385124    0    0     0    20  606 1209  4  1 96  0  0
 0  0  36364 290920  67752 385132    0    0     0    20  619 1210  5  1 94  1  0
 0  0  36364 290788  67752 385132    0    0     0     0  524 1208  4  1 96  0  0
 0  0  36364 290796  67760 385132    0    0     0    20  541 1027  5  1 95  0  0
 0  0  36364 290796  67776 385120    0    0     0   352  501 1068  3  0 96  0  0
 1  0  36364 290796  67784 385136    0    0     0    20  451  999  2  1 97  0  0
 0  0  36364 290796  67784 385136    0    0     0     0  592 1071  2  1 97  0  0
 1  0  36364 290796  67784 385136    0    0     0     0  503 1036  3  0 97  0  0
 0  0  36364 290796  67784 385136    0    0     0     0  556 1016  3  1 96  0  0
 1  0  36364 290796  67784 385136    0    0     0     0  648 1163  5  0 95  0  0
 0  0  36364 290796  67792 385128    0    0     0    20  555 1096  4  1 94  0  0
 0  0  36364 290796  67800 385136    0    0     0    20  579 1131  4  1 95  0  0
 0  0  36364 290796  67800 385136    0    0     0     0  543 1096  4  0 96  0  0
 0  0  36364 290704  67808 385136    0    0     0    96  661 1319  5  1 94  1  0
 0  0  36364 290704  67824 385120    0    0     0   288  592 1174  3  1 96  0  0
 0  0  36364 290704  67832 385140    0    0     0    20  565 1166  3  2 96  0  0
 2  0  36364 290512  67840 385132    0    0     0    20  634 1152  6  0 93  0  0
 0  0  36364 290512  67856 385140    0    0     0   160  572 1094  3  1 96  1  0
 1  0  36364 290512  67880 385124    0    0     0    52  629 1187  6  1 94  0  0
