procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   5132 216988 229784 470864    0    0    14   107  347  677 15  2 83  0  0
 2  0   5132 208552 229784 470868    0    0     0   136 1125 2116 47  2 51  0  0
 2  0   5132 199096 229784 470868    0    0     0     0 1230 2196 47  5 49  0  0
 1  0   5132 198472 229792 470860    0    0     0    68 1334 2494 49  3 48  0  0
 1  0   5132 198224 229792 470872    0    0     0     0 1332 2302 46  3 51  0  0
 0  0   5132 198256 229792 470880    0    0     0     0  603 1163  7  1 92  0  0
 0  0   5132 198288 229804 470884    0    0     4   296  656 1289  3  1 95  1  0
 1  0   5132 198288 229812 470884    0    0     0    20  590 1196  3  1 96  0  0
 0  0   5132 198288 229812 470884    0    0     0     0  624 1229  4  1 96  0  0
 0  0   5132 198288 229824 470884    0    0     0   372  588 1182  3  0 97  1  0
 0  0   5132 198288 229832 470884    0    0     0    20  636 1156  4  1 96  1  0
 1  0   5132 198288 229840 470876    0    0     0    20  586 1137  4  1 95  0  0
 0  0   5132 198040 229840 470884    0    0     0     0  541 1062  3  1 97  0  0
 0  0   5132 198040 229856 470880    0    0     0   240  523  984  3  1 97  1  0
 0  0   5132 198040 229856 470884    0    0     0     0  461 1061  3  1 97  0  0
 1  0   5132 198040 229856 470884    0    0     0     0  440 1082  3  1 97  0  0
 0  0   5132 198040 229856 470884    0    0     0     0  504 1196  3  0 97  0  0
 0  0   5132 197916 229856 470888    0    0     0    20  572 1207  5  1 95  1  0
 0  0   5132 197916 229856 470888    0    0     0     0  541 1078  3  0 97  0  0
 0  0   5132 197916 229876 470888    0    0     0   472  638 1265  5  1 94  1  0
 1  0   5132 197916 229888 470880    0    0     4    72  686 1348  5  1 94  0  0
 0  0   5132 197948 229912 470892    0    0     0    76  679 1362  4  1 94  0  0
 0  0   5132 197948 229928 470884    0    0     0    76  549 1218  2  1 97  0  0
 0  0   5132 197948 229936 470892    0    0     0    64  595 1154  5  1 94  0  0
 0  0   5132 197948 229948 470892    0    0     0  3876  659 1339  3  2 95  1  0
 0  0   5132 197948 229948 470892    0    0     0     0  530 1035  2  1 97  0  0
 0  0   5132 197948 229948 470892    0    0     0     0  580 1181  4  0 96  0  0
 0  0   5132 197948 229956 470884    0    0     4    44  807 1317 13  1 86  0  0
 0  0   5132 198012 229956 470896    0    0     0     0  508 1118  3  0 97  0  0
 0  0   5132 198012 229976 470892    0    0     0   276  556 1113  3  2 96  1  0
 0  0   5132 198012 229976 470896    0    0     0    20  533 1139  3  1 96  1  0
 3  0   5132 198012 229980 470892    0    0     0    20  564 1160  4  1 96  0  0
 0  0   5132 198012 229980 470896    0    0     0     0  536 1195  3  0 97  0  0
 0  0   5132 198012 230000 470892    0    0     0   236  555 1208  2  1 97  1  0
 0  0   5132 198012 230000 470896    0    0     0   400  516 1089  2  1 97  0  0
 1  0   5132 198012 230000 470896    0    0     0     0  523 1086  6  0 95  0  0
 0  0   5132 197884 230000 470904    0    0     4    84 1147 1882 38  2 60  0  0
 1  0   5132 197884 230000 470908    0    0     0    20  619 1060  4  1 96  0  0
 0  0   5132 197884 230000 470908    0    0     0     0  502 1130  3  1 97  0  0
 0  0   5132 197884 230004 470908    0    0     0   340  495 1153  3  1 96  1  0
 1  0   5132 197884 230008 470908    0    0     0    20  658 1257  6  1 93  1  0
 0  0   5132 197884 230012 470904    0    0     0    20  606 1197  4  1 96  0  0
 0  0   5132 197892 230012 470908    0    0     0     0  539 1134  2  1 97  0  0
 0  0   5132 197884 230016 470908    0    0     0   240  512 1092  3  1 96  1  0
 0  0   5132 197884 230016 470908    0    0     0     0  504 1061  4  0 96  0  0
 0  0   5132 197884 230016 470912    0    0     0     0  441 1016  1  0 99  0  0
 0  0   5132 197884 230016 470912    0    0     0     0  461 1072  3  1 97  0  0
 0  0   5132 197884 230016 470912    0    0     0    20  594 1186  3  1 96  0  0
 0  0   5132 197884 230016 470912    0    0     0     0  519 1137  3  1 97  0  0
 0  0   5132 197916 230024 470912    0    0     0   312  623 1181  6  2 92  1  0
 0  0   5132 197916 230032 470908    0    0     4    40  560 1134  5  1 94  1  0
 0  0   5132 197916 230040 470916    0    0     0    20  607 1236  3  0 97  0  0
 0  0   5132 197736 230040 470916    0    0     0    20  560 1188  3  1 95  0  0
 0  0   5132 197792 230040 470916    0    0     0    20  538 1097  4  1 95  0  0
 0  0   5132 197792 230040 470916    0    0     0   596  507 1137  4  0 96  1  0
 0  0   5132 197792 230040 470916    0    0     0     0  577 1162  3  1 97  0  0
 0  0   5132 197792 230040 470916    0    0     0     0  541 1119  3  1 97  0  0
 3  0   5132 197792 230044 470916    0    0     0    20  606 1152  4  1 94  0  0
 0  0   5132 197792 230044 470916    0    0     0     0  466 1049  3  1 97  0  0
 0  0   5132 197792 230048 470916    0    0     0   184  574 1160  4  0 95  0  0
