procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  25868 244076 213200 367888    0    0     2    57    9   45  5  1 94  0  0
 0  0  25868 244332 213208 367900    0    0     0    36  628 1230  3  1 96  0  0
 1  0  25868 236736 213212 367900    0    0     0    40  930 1739 18  2 80  0  0
 1  0  25868 232364 213212 367900    0    0     0     0 1466 2630 47  4 49  0  0
 1  0  25868 226628 213216 367904    0    0     0   896 1071 2111 50  3 47  1  0
 0  0  25868 226160 213232 367908    0    0     0   120 1304 2434 45  4 52  0  0
 1  0  25868 226192 213232 367912    0    0     0     0  980 1823 22  2 76  0  0
 1  0  25868 226192 213248 367920    0    0     4    80  667 1355  2  1 97  0  0
 0  0  25868 226224 213264 367920    0    0     0    36  744 1440  5  1 94  0  0
 0  0  25868 226224 213280 367920    0    0     0   936  658 1443  3  0 96  1  0
 0  0  25868 226224 213280 367920    0    0     0    20  624 1318  4  0 96  1  0
 0  0  25868 226224 213280 367920    0    0     0     0  564 1262  3  0 97  0  0
 0  0  25868 226224 213296 367920    0    0     0   176  573 1268  2  0 97  1  0
 0  0  25868 225976 213296 367920    0    0     0     0  559 1244  3  2 96  0  0
 0  0  25868 225976 213296 367920    0    0     0     0  518 1151  3  0 97  0  0
 0  0  25868 225976 213296 367920    0    0     0     0  513 1103  2  1 97  0  0
 1  0  25868 225976 213300 367920    0    0     0    20  541 1193  3  1 97  0  0
 0  0  25868 225976 213312 367924    0    0     4    44  538 1181  3  1 96  1  0
 0  0  25868 225976 213332 367924    0    0     0    80  609 1229  4  1 95  0  0
 0  0  25868 225944 213352 367924    0    0     0  4172  673 1577  4  1 95  1  0
 0  0  25868 225944 213360 367916    0    0     0    20  575 1127  4  1 96  0  0
 0  0  25868 225944 213360 367924    0    0     0     0  484 1151  2  1 97  0  0
 0  0  25868 225944 213384 367924    0    0     0   176  603 1270  4  1 96  1  0
 0  0  25868 225820 213384 367924    0    0     0     0  569 1185  3  1 97  0  0
 0  0  25868 225820 213384 367924    0    0     0     0  503 1087  3  1 96  0  0
 0  0  25868 225820 213384 367924    0    0     0     8  543 1163  3  1 97  0  0
 0  0  25868 225820 213384 367924    0    0     0     0  506 1151  3  1 97  0  0
 0  0  25868 225820 213404 367936    0    0     8    80  581 1295  3  1 95  1  0
 0  0  25868 225820 213412 367936    0    0     0    20  600 1290  3  1 96  0  0
 0  0  25868 225820 213428 367936    0    0     0   532  654 1388  4  1 94  0  0
 0  0  25868 225820 213428 367936    0    0     0    20  614 1298  5  0 95  0  0
 0  0  25868 225884 213436 367936    0    0     0    20 1072 1957 31  2 67  0  0
 0  0  25868 225884 213440 367940    0    0     4    52  739 1461 12  1 86  0  0
 0  0  25868 225760 213460 367940    0    0     0   440  626 1384  5  1 94  0  0
 0  0  25868 225792 213460 367940    0    0     0     0  703 1256  6  0 94  0  0
 0  0  25868 225792 213468 367940    0    0     0   368  654 1269  4  1 94  1  0
 1  0  25868 225792 213468 367940    0    0     0     0  594 1248  3  1 96  0  0
 0  0  25868 225824 213476 367940    0    0     0    20  718 1425  7  1 92  1  0
 0  0  25868 225632 213496 367948    0    0     4    64  953 1743 17  2 81  0  0
 0  0  25868 225632 213496 367948    0    0     0     0  501 1159  4  0 96  0  0
 0  0  25868 225632 213520 367948    0    0     0   524  576 1248  3  1 95  1  0
 0  0  25868 225632 213520 367948    0    0     0     0  527 1105  3  0 97  0  0
 0  0  25868 225632 213536 367948    0    0     0   176  554 1227  5  1 94  1  0
 0  0  25868 225584 213536 367948    0    0     0     0  481 1176  3  0 97  0  0
 0  0  25868 225632 213536 367948    0    0     0     0  505 1072  3  1 97  0  0
 0  0  25868 225632 213536 367952    0    0     0     0  498 1160  3  1 97  0  0
 1  0  25868 225632 213544 367952    0    0     0    20  589 1210  4  1 95  1  0
 0  0  25868 225632 213552 367952    0    0     0    20  606 1293  4  1 96  0  0
 1  0  25868 225664 213556 367952    0    0     0    20  665 1334  3  1 96  1  0
 0  0  25868 225664 213572 367952    0    0     0   340  673 1385  2  2 96  1  0
 2  0  25868 225664 213580 367944    0    0     4    24  639 1300  4  1 95  0  0
 0  0  25868 225664 213580 367956    0    0     0     0  579 1263  2  1 97  0  0
 0  0  25868 225664 213592 367956    0    0     0   176  559 1218  3  0 97  1  0
 0  0  25868 225664 213592 367956    0    0     0     0  597 1292  3  1 96  0  0
 0  0  25868 225664 213592 367956    0    0     0     0  514 1183  2  1 97  0  0
 2  0  25868 225664 213592 367956    0    0     0   104  516  993  3  1 97  1  0
 1  0  25868 225664 213592 367956    0    0     0     0  494 1111  3  1 96  0  0
 0  0  25868 225664 213600 367956    0    0     0    20  564 1198  4  1 95  0  0
 0  0  25868 225664 213608 367956    0    0     0    20  537 1141  3  1 96  1  0
 0  0  25868 225664 213628 367956    0    0     0   240  571 1232  4  0 95  0  0
