procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  66304 221980 266276 331700    0    0     2    57    9   45  5  1 94  0  0
 1  0  66304 222196 266276 331704    0    0     8    80  679 1312  7  1 92  0  0
 1  0  66304 213648 266276 331716    0    0     0     0 1379 2198 49  4 47  0  0
 1  0  66304 204872 266276 331716    0    0     0    68 1335 2281 49  3 48  0  0
 2  0  66304 203944 266276 331832    0    0   100    32 1388 2612 46  4 50  1  0
 0  0  66304 203816 266276 331832    0    0     0    84 1156 2101 35  2 64  0  0
 0  0  66304 203816 266276 331840    0    0     4    52  645 1306  3  2 96  0  0
 1  0  66304 203816 266276 331840    0    0     0   484  640 1355  2  1 96  1  0
 0  0  66304 203816 266276 331840    0    0     0    20  585 1220  3  1 97  0  0
 0  0  66304 203816 266276 331840    0    0     0     0  566 1222  4  1 96  0  0
 1  0  66304 203568 266276 331840    0    0     0     0  536 1174  3  1 97  0  0
 0  0  66304 203568 266276 331840    0    0     0    20  646 1139  4  2 94  0  0
 0  0  66304 203568 266276 331840    0    0     0   156  616 1199  4  1 96  0  0
 0  0  66304 203568 266276 331840    0    0     0    36  629 1208  4  1 95  1  0
 0  0  66304 203568 266276 331840    0    0     0   224  624 1229  3  1 95  1  0
 0  0  66304 203568 266276 331840    0    0     0    36  628 1237  5  0 95  0  0
 0  0  66304 203568 266276 331840    0    0     4    48  629 1335  2  1 97  1  0
 0  0  66304 203568 266276 331852    0    0     0   420  585 1240  3  2 96  1  0
 0  0  66304 203568 266276 331852    0    0     0    44  568 1207  4  1 96  0  0
 1  0  66304 203568 266276 331852    0    0     0    44  594 1230  6  1 94  1  0
 0  0  66304 203568 266276 331852    0    0     0     0  575 1218  4  1 96  0  0
 0  0  66304 203568 266276 331852    0    0     0   156  476 1085  3  1 97  0  0
 1  0  66304 203600 266276 331852    0    0     0    20  566 1184  3  1 96  0  0
 0  0  66304 203600 266276 331852    0    0     0   208  532 1131  4  1 95  1  0
 2  0  66304 203600 266276 331852    0    0     0    20  581 1155  6  0 94  0  0
 0  0  66304 203600 266276 331852    0    0     0    52  626 1204  4  2 94  1  0
 0  0  66304 203600 266276 331852    0    0     0   452  717 1284  4  1 96  0  0
 0  0  66304 203600 266276 331852    0    0     0    36  625 1260  5  1 94  0  0
 0  0  66304 203632 266276 331852    0    0     0    16  724 1333  9  0 91  0  0
 0  0  66304 203664 266280 331856    0    0     4    48  744 1393  8  1 91  0  0
 3  0  66304 203664 266280 331856    0    0     0   260  622 1317  2  1 97  1  0
 0  0  66304 203664 266280 331856    0    0     0    20  548 1174  2  1 97  0  0
 1  0  66304 203664 266280 331856    0    0     0     0  579 1258  3  1 96  0  0
 0  0  66304 203664 266280 331856    0    0     0   416  667 1267  4  1 95  1  0
 0  0  66304 203696 266280 331856    0    0     0   208  627 1329  3  1 96  0  0
 0  0  66304 203696 266280 331856    0    0     0    36  616 1190  4  1 95  0  0
 1  0  66304 203696 266280 331856    0    0     0   224  604 1271  2  1 97  1  0
 0  0  66304 203696 266280 331856    0    0     0    20  589 1164  3  1 96  0  0
 0  0  66304 203696 266280 331856    0    0     0     0  569 1202  3  1 96  0  0
 0  0  66304 203696 266280 331856    0    0     0     0  596 1185  3  1 96  0  0
 0  0  66304 203696 266280 331856    0    0     0     0  666 1388  4  1 96  0  0
 0  0  66304 203696 266280 331856    0    0     0    20  633 1296  3  1 96  1  0
 0  0  66304 203696 266280 331856    0    0     0   160  610 1303  4  0 96  0  0
 0  0  66304 203728 266280 331856    0    0     0    36  661 1252  3  1 96  0  0
 0  0  66304 203728 266280 331856    0    0     0   160  576 1175  3  1 96  1  0
 0  0  66304 203728 266280 331864    0    0     4    40  575 1194  4  2 95  0  0
 0  0  66304 203728 266280 331864    0    0     0   224  524 1126  3  0 96  0  0
 0  0  66304 203728 266280 331864    0    0     0    20  517 1111  2  1 97  0  0
 0  0  66304 203728 266280 331864    0    0     0     0  492 1069  3  0 97  0  0
 0  0  66304 203728 266280 331864    0    0     0    20  605 1292  4  2 94  1  0
 1  0  66304 203596 266280 331864    0    0     0   160  498 1216  3  1 96  1  0
 1  0  66304 203436 266280 331864    0    0     0    20  972 1742 36  1 63  0  0
 0  0  66304 203444 266280 331864    0    0     0    64  673 1309 10  1 89  0  0
 0  0  66304 203476 266280 331864    0    0     0    20  621 1230  4  0 96  0  0
 0  0  66304 203476 266280 331864    0    0     0    20  603 1243  3  2 95  1  0
 1  0  66304 203476 266280 331868    0    0     4    40  617 1296  6  1 94  0  0
 0  0  66304 203476 266280 331868    0    0     0   552  610 1341  2  1 97  1  0
 0  0  66304 203476 266280 331884    0    0     0    36  656 1312  5  0 94  1  0
 1  0  66304 203476 266280 331884    0    0     0   160  586 1206  2  0 98  0  0
 0  0  66304 203476 266280 331884    0    0     0   148  614 1222  4  1 94  0  0
