procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 145408 232016  97516 257612    0    0     0    54    6    1  4  1 95  0  0
 3  0 145408 223240  97532 257688    0    0    72   136 1197 2080 48  2 50  0  0
 2  0 145408 213932  97532 257692    0    0     0     0 1516 2515 49  3 48  0  0
 1  0 145408 213096  97540 257696    0    0     0    68 1275 2494 45  4 52  0  0
 1  0 145408 213224  97552 257696    0    0     0    76 1063 1997 23  2 75  0  0
 0  0 145408 213224  97588 257704    0    0     4   116  622 1209  4  1 96  0  0
 2  0 145408 213224  97596 257700    0    0     0    76  547 1153  2  1 97  1  0
 0  0 145408 212976  97612 257704    0    0     0    64  609 1297  2  1 97  0  0
 0  0 145408 212912  97640 257704    0    0     0  3980  607 1292  3  2 94  0  0
 0  0 145408 212912  97640 257704    0    0     0     0  519 1019  3  0 97  0  0
 0  0 145408 212912  97640 257704    0    0     0   256  527 1002  3  1 97  0  0
 0  0 145408 212912  97640 257704    0    0     0     0  499  933  2  1 97  0  0
 1  0 145408 212912  97640 257704    0    0     0     0  487  998  3  1 97  0  0
 0  0 145408 212912  97640 257704    0    0     0    24  621 1078  4  0 96  0  0
 0  0 145408 212912  97660 257704    0    0     0   172  607 1115  4  1 95  1  0
 0  0 145408 212912  97664 257704    0    0     0    40  621 1067  4  0 96  0  0
 1  0 145408 212912  97672 257696    0    0     0    20  568 1061  1  1 98  0  0
 1  0 145408 212912  97672 257704    0    0     0    20  718 1360  4  1 95  0  0
 0  0 145408 212912  97696 257696    0    0     0   368  550 1134  2  0 97  1  0
 0  0 145408 212912  97696 257704    0    0     0     0  599 1208  3  1 96  0  0
 0  0 145408 212912  97696 257704    0    0     0    20  567 1110  3  0 97  0  0
 0  0 145408 212912  97696 257704    0    0     0     0  514 1119  3  1 96  0  0
 0  0 145408 212912  97696 257704    0    0     0     0  487 1073  1  1 98  0  0
 0  0 145408 212912  97696 257704    0    0     0     0  464  992  3  1 97  0  0
 0  0 145408 212912  97712 257708    0    0     4    60  550 1072  5  1 95  0  0
 0  0 145408 212912  97732 257708    0    0     0    52  640 1132  6  1 93  0  0
 1  0 145408 212912  97732 257708    0    0     0    12  544  967  2  1 98  0  0
 0  0 145408 212788  97756 257700    0    0     0    68  697 1312  5  1 93  1  0
 0  0 145408 212820  97756 257708    0    0     0     0  624 1150  3  1 96  0  0
 0  0 145408 212820  97776 257704    0    0     0   596  573 1089  3  0 97  0  0
 1  0 145408 212820  97776 257708    0    0     0     0  520  996  2  1 97  0  0
 0  0 145408 212820  97784 257708    0    0     0   420  592 1041  5  1 95  0  0
 0  0 145408 212820  97784 257708    0    0     0     0  635 1163  4  1 96  0  0
 0  0 145408 212820  97792 257704    0    0     0   176  537  964  2  1 96  1  0
 0  0 145408 212628  97800 257708    0    0     0    20  595 1057  4  1 95  0  0
 0  0 145408 212628  97808 257708    0    0     0    24  570 1030  3  1 97  0  0
 2  0 145408 212660  97808 257708    0    0     0    16  691 1218 10  1 88  0  0
 0  0 145408 212568  97824 257712    0    0     4    68  723 1439  5  1 94  0  0
 0  0 145408 212568  97844 257692    0    0     0   468  619 1266  4  0 96  1  0
 1  0 145408 212568  97844 257728    0    0     0     0  604 1228  3  1 97  0  0
 0  0 145408 212568  97844 257728    0    0     0     0  573 1159  4  0 96  0  0
 0  0 145408 212568  97844 257728    0    0     0     0  496 1074  2  1 97  0  0
 3  0 145408 212568  97844 257728    0    0     0     0  582 1159  3  1 97  0  0
 1  0 145408 212568  97852 257728    0    0     0    20  565 1155  3  0 97  0  0
 0  0 145408 212568  97876 257728    0    0     0   176  646 1198  4  1 95  0  0
 0  0 145408 212568  97880 257732    0    0     0    20  567 1113  4  1 96  0  0
 1  0 145408 212568  97896 257724    0    0     0   112  534 1118  2  1 97  1  0
 0  0 145408 212444  97904 257732    0    0     0    20  694 1245  5  1 95  0  0
 0  0 145408 212444  97928 257724    0    0     0   300  552 1094  3  1 96  0  0
 0  0 145408 212444  97928 257732    0    0     0     0  620 1037  3  1 96  0  0
 0  0 145408 212444  97928 257732    0    0     0     0  516 1007  2  0 98  0  0
 1  0 145408 212476  97928 257736    0    0     0     0  924 1560 34  3 64  0  0
 0  0 145408 212508  97932 257740    0    0     4    52  575 1033  3  1 96  1  0
 0  0 145408 212508  97956 257740    0    0     0   172  537  984  2  0 98  0  0
 0  0 145408 212508  97964 257740    0    0     0    20  588 1090  3  1 96  0  0
 3  0 145408 212508  97984 257740    0    0     0    52  670 1152  5  0 94  1  0
 1  0 145408 212508  97984 257740    0    0     0     0  511 1005  2  1 97  0  0
 0  0 145408 212384  97996 257740    0    0     0    36  678 1281  5  1 94  0  0
 0  0 145408 212384  97996 257740    0    0     0     0  591 1163  2  1 98  0  0
 1  0 145408 212384  98016 257740    0    0     0   532  621 1316  3  1 97  0  0
