procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 196864 237336 150612 246364    0    0     0    54    9    7  4  1 95  0  0
 2  0 196864 228904 150620 246372    0    0     0    88 1150 1965 35  2 64  0  0
 1  0 196864 219632 150620 246376    0    0     0     0 1079 1915 49  2 49  0  0
 0  0 196864 218668 150636 246384    0    0     4   112 1269 2248 56  3 42  0  0
 1  0 196864 218292 150644 246388    0    0     0    36 1339 2366 37  2 60  0  0
 0  0 196864 218292 150652 246388    0    0     0    64  631 1191  3  1 95  0  0
 0  0 196864 218292 150656 246392    0    0     0    44  672 1240  7  1 92  1  0
 0  0 196864 218044 150656 246400    0    0     4    40  718 1406  7  2 90  0  0
 1  0 196864 218044 150668 246388    0    0     0   776  640 1276  5  1 95  0  0
 0  0 196864 218044 150672 246400    0    0     0    20  608 1142  4  0 95  0  0
 0  0 196864 218076 150700 246380    0    0     0    96  709 1311  8  0 92  1  0
 0  0 196864 218076 150716 246400    0    0     0  3384  668 1457  6  1 93  1  0
 2  0 196864 218076 150720 246396    0    0     0    20  561 1101  3  1 96  0  0
 2  0 196864 218076 150728 246404    0    0     4    48  621 1219  5  1 95  0  0
 0  0 196864 218076 150736 246404    0    0     0    48  671 1279  4  0 95  1  0
 0  0 196864 218076 150744 246396    0    0     0    24  549 1044  3  1 97  0  0
 1  0 196864 218076 150760 246404    0    0     0   452  616 1173  3  1 97  0  0
 0  0 196864 217952 150768 246404    0    0     0    20  590 1227  4  1 96  0  0
 0  0 196864 217952 150784 246388    0    0     0  1036  570 1104  2  1 96  1  0
 0  0 196864 217952 150792 246404    0    0     0    60  505 1007  3  0 97  0  0
 0  0 196864 217952 150796 246400    0    0     0    20  546 1134  4  1 95  1  0
 1  0 196864 217952 150808 246404    0    0     0   156  531 1041  4  1 96  0  0
 0  0 196864 217952 150816 246396    0    0     0    20  543 1001  3  0 97  0  0
 0  0 196864 217952 150816 246404    0    0     0     0  514 1028  3  1 97  0  0
 0  0 196864 217952 150820 246404    0    0     0    20  589 1047  4  0 96  0  0
 0  0 196864 217952 150836 246388    0    0     0   172  586 1066  4  1 95  0  0
 0  0 196864 217952 150836 246404    0    0     0     0  532 1031  3  0 96  0  0
 0  0 196864 217952 150848 246396    0    0     0    36  597 1120  3  1 95  1  0
 0  0 196864 217952 150856 246404    0    0     0   260  621 1210  3  1 96  0  0
 0  0 196864 217952 150860 246400    0    0     0    20  564 1078  3  1 96  0  0
 0  0 196864 217952 150864 246404    0    0     4    24  525  976  4  1 96  0  0
 0  0 196864 217952 150876 246396    0    0     0   156  542 1055  4  0 95  0  0
 0  0 196864 217952 150880 246408    0    0     0    20  508 1058  2  1 97  0  0
 0  0 196864 217952 150880 246408    0    0     0     0  492  959  3  1 96  0  0
 0  0 196864 217952 150884 246408    0    0     0    36  580  949  4  1 96  0  0
 0  0 196864 218016 150888 246412    0    0     0    68 1051 1808 38  2 60  0  0
 0  0 196864 218016 150892 246408    0    0     0   320  618 1178  5  1 94  1  0
 0  0 196864 218016 150908 246412    0    0     0    36  637 1260  7  2 92  0  0
 0  0 196864 218016 150928 246392    0    0     0   272  608 1195  4  1 95  1  0
 0  0 196864 218016 150928 246412    0    0     0    20  524  974  3  1 96  0  0
 0  0 196864 218048 150936 246408    0    0     4    40  595 1156  5  0 95  0  0
 0  0 196864 218048 150948 246416    0    0     0   324  558 1112  3  1 97  0  0
 0  0 196864 218048 150948 246416    0    0     0    20  536 1024  3  0 97  1  0
 0  0 196864 218048 150948 246416    0    0     0    20  540 1031  4  1 95  0  0
 1  0 196864 218048 150956 246416    0    0     0    20  635 1206  3  1 96  0  0
 0  0 196864 218048 150968 246408    0    0     0   260  560 1102  4  1 96  0  0
 0  0 196864 218048 150976 246420    0    0     0    20  557 1047  3  1 96  0  0
 2  0 196864 217924 150980 246420    0    0     0    20  596 1151  5  1 94  0  0
 0  0 196864 217924 150984 246416    0    0     0   160  545 1141  2  1 97  1  0
 0  0 196864 217924 150992 246420    0    0     0    20  516 1082  2  1 98  0  0
 0  0 196864 217924 151000 246412    0    0     0    20  592 1170  4  1 95  0  0
 0  0 196864 217924 151016 246420    0    0     0   156  538 1121  3  1 97  0  0
 0  0 196864 217924 151020 246420    0    0     0    20  519 1088  3  0 97  0  0
 0  0 196864 217924 151020 246420    0    0     0     0  476 1024  3  1 96  0  0
 0  0 196864 217924 151020 246420    0    0     0   116  545 1139  4  1 95  1  0
 0  0 196864 217924 151036 246404    0    0     0   172  653 1226  4  1 95  0  0
 0  0 196864 217924 151036 246404    0    0     0     0  527 1018  3  1 97  0  0
 0  0 196864 217924 151044 246420    0    0     0    20  635 1159  4  1 95  0  0
 0  0 196864 217924 151056 246408    0    0     0   276  606 1066  3  1 96  0  0
 0  0 196864 217924 151064 246420    0    0     0    20  604 1161  5  0 94  0  0
