procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 183808 209576 142216 262080    0    0     0    54    9    6  4  1 95  0  0
 1  0 183808 209824 142240 262084    0    0     0   164  715 1335  2  1 97  0  0
 0  0 183808 209256 142256 262244    0    0     0  6592  875 1856  4  2 94  1  0
 0  0 183808 209264 142276 262272    0    0     0  1388  707 1308  4  1 95  0  0
 0  0 183808 209264 142276 262276    0    0     0     0  559 1054  3  1 96  0  0
 1  0 183808 209264 142292 262276    0    0     0   208  664 1238  9  1 91  1  0
 1  0 183808 200736 142292 262276    0    0     0     0 1195 2155 49  2 48  0  0
 1  0 183808 191768 142296 262280    0    0     0    68 1167 1973 51  1 48  0  0
 1  0 183808 191024 142296 262280    0    0     0     0 1386 2361 48  3 50  0  0
 1  0 183808 190996 142320 262264    0    0     4   128 1209 2336 41  3 56  0  0
 1  0 183808 190996 142324 262296    0    0     0    16  594 1200  4  1 95  0  0
 0  0 183808 190996 142340 262296    0    0     0   508  591 1199  3  1 96  1  0
 0  0 183808 190732 142340 262296    0    0     0    20  581 1147  5  1 94  0  0
 2  0 183808 190780 142340 262300    0    0     4    60  569 1015  4  1 96  0  0
 0  0 183808 190780 142340 262300    0    0     0     0  556 1046  3  1 96  0  0
 0  0 183808 190780 142352 262300    0    0     0   340  651 1235  4  1 95  1  0
 0  0 183808 190780 142352 262300    0    0     0     0  588 1135  3  1 96  0  0
 0  0 183808 190780 142352 262300    0    0     0    24  594 1161  3  1 96  0  0
 0  0 183808 190780 142352 262300    0    0     0     0  532 1113  2  1 97  0  0
 0  0 183808 190780 142372 262300    0    0     0   252  548 1165  3  0 96  1  0
 0  0 183808 190780 142372 262300    0    0     0     0  706 1180  7  0 93  0  0
 0  0 183808 190780 142380 262296    0    0     4    32 1135 1794 21  2 77  0  0
 0  0 183808 190728 142380 262304    0    0     0     0  667 1264  3  1 97  0  0
 0  0 183808 190720 142396 262296    0    0     0   288  590 1198  5  0 94  0  0
 0  0 183808 190720 142400 262304    0    0     0   312  566 1060  4  1 95  0  0
 0  0 183808 190720 142400 262304    0    0     0     0  535 1004  3  1 96  0  0
 0  0 183808 190528 142420 262304    0    0     0   288  564 1147  3  1 95  1  0
 0  0 183808 190528 142420 262304    0    0     0    20  592 1144  4  0 96  0  0
 0  0 183808 190528 142432 262304    0    0     0   276  553 1081  4  0 96  0  0
 0  0 183808 190528 142436 262300    0    0     0    44  525 1019  4  0 96  0  0
 0  0 183808 190528 142444 262304    0    0     0    20  612 1201  4  1 95  0  0
 0  0 183808 190528 142444 262304    0    0     0     0  613 1095  2  1 97  0  0
 0  0 183808 190404 142456 262304    0    0     0   272  626 1108  4  1 95  0  0
 0  0 183808 190404 142464 262296    0    0     0    20  591 1132  3  1 96  0  0
 0  0 183808 190436 142464 262304    0    0     0     8  502  959  3  0 97  0  0
 0  0 183808 190436 142484 262304    0    0     0   180  565 1064  2  1 97  1  0
 1  0 183808 190436 142484 262304    0    0     0     0  553 1012  3  1 97  0  0
 0  0 183808 190436 142488 262304    0    0     0    20  556 1080  2  1 97  0  0
 0  0 183808 190436 142508 262304    0    0     0   176  508 1154  2  1 97  0  0
 0  0 183808 190532 142508 262304    0    0     0   468  564 1099  3  1 96  1  0
 0  0 183808 190532 142508 262304    0    0     0     0  517 1024  4  1 96  0  0
 0  0 183808 190532 142528 262304    0    0     0   172  504 1027  3  1 97  0  0
 0  0 183808 190392 142532 262300    0    0     0    20  597 1148  4  1 96  0  0
 0  0 183808 190408 142536 262304    0    0     0    20  531 1074  4  0 95  1  0
 1  0 183808 190408 142536 262304    0    0     0     0  521  993  3  0 96  0  0
 0  0 183808 190408 142548 262308    0    0     0   276  536 1182  2  0 98  0  0
 0  0 183808 190408 142548 262308    0    0     0     0  603 1061  4  2 94  0  0
 0  0 183808 190408 142552 262308    0    0     0    20  497 1001  4  1 96  0  0
 2  0 183808 190408 142576 262300    0    0     0   176  531 1081  3  1 96  1  0
 1  0 183808 190408 142580 262312    0    0     4    24  523  934  3  1 97  0  0
 1  0 183808 190408 142580 262312    0    0     0     0  502 1089  4  0 96  0  0
 0  0 183808 190408 142600 262312    0    0     0   172  555 1116  3  1 96  0  0
 0  0 183808 190408 142600 262312    0    0     0     0  568 1035  3  1 97  0  0
 0  0 183808 190408 142604 262312    0    0     0    20  486 1071  3  0 97  0  0
 0  0 183808 190408 142604 262312    0    0     0   112  569 1115  4  1 95  1  0
 0  0 183808 190408 142604 262312    0    0     0     0  564 1137  3  2 96  0  0
 0  0 183808 190408 142620 262312    0    0     0   356  643 1146  4  1 96  0  0
 0  0 183808 190408 142624 262312    0    0     0    24  634 1191  5  1 94  0  0
 1  0 183808 190440 142644 262312    0    0     0   340  549 1187  3  0 96  1  0
 0  0 183808 190440 142652 262312    0    0     0    20  520 1072  2  1 97  0  0
