procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  10252 238220 302908 311108    0    0     4    57  290  283  5  1 94  0  0
 0  0  10252 238272 302908 311112    0    0     0     0  589 1140  2  1 97  0  0
 1  0  10252 231976 302908 311112    0    0     0   148  840 1655 18  1 80  0  0
 1  0  10252 229620 302908 311112    0    0     0     0 1422 2490 51  1 48  0  0
 1  0  10252 220504 302908 311112    0    0     0    56 1136 1950 47  4 49  0  0
 0  0  10252 219688 302908 311124    0    0     0    92 1262 2487 50  2 48  1  0
 2  0  10252 219504 302908 311132    0    0     0    84 1231 2219 41  2 58  0  0
 0  0  10252 219536 302908 311140    0    0     8    76 1298 2266 26  2 72  0  0
 0  0  10252 219568 302908 311140    0    0     0   812  553 1251  2  1 97  1  0
 0  0  10252 219568 302908 311140    0    0     0    20  516 1065  2  1 97  0  0
 0  0  10252 219444 302908 311140    0    0     0    20  856 1622 22  2 76  1  0
 0  0  10252 219476 302908 311140    0    0     0    64  723 1520 15  1 84  0  0
 0  0  10252 219508 302912 311140    0    0     4    72  646 1380  4  1 95  1  0
 0  0  10252 219376 302912 311144    0    0     0   616  696 1373  3  1 96  0  0
 0  0  10252 219416 302912 311144    0    0     0    20  702 1428  6  1 92  0  0
 0  0  10252 219416 302912 311144    0    0     0   176  610 1258  2  0 97  1  0
 0  0  10252 219416 302912 311144    0    0     0    20  580 1173  3  0 97  1  0
 0  0  10252 219416 302912 311144    0    0     0    36  638 1266  3  1 96  0  0
 0  0  10252 219416 302912 311144    0    0     0     0  584 1230  5  0 94  0  0
 0  0  10252 219416 302912 311144    0    0     0   256  539 1157  4  0 96  1  0
 0  0  10252 219416 302912 311144    0    0     0    44  583 1144  2  1 97  0  0
 2  0  10252 219416 302912 311144    0    0     0     0  580 1177  3  1 97  0  0
 0  0  10252 219416 302912 311144    0    0     0    68  664 1348  5  1 94  1  0
 0  0  10252 219416 302912 311144    0    0     0   288  548 1271  2  1 97  1  0
 0  0  10252 219416 302912 311144    0    0     0    20  549 1257  3  1 96  0  0
 0  0  10252 219416 302912 311144    0    0     0   220  526 1272  3  1 96  0  0
 0  0  10252 219416 302912 311144    0    0     0    20  597 1288  3  1 96  0  0
 0  0  10252 219416 302912 311156    0    0     8    48  587 1310  2  1 97  1  0
 1  0  10252 219416 302912 311156    0    0     0   352  616 1333  3  1 97  0  0
 0  0  10252 219416 302912 311156    0    0     0    20  601 1313  3  1 96  1  0
 0  0  10252 219416 302912 311156    0    0     0     0  551 1223  3  1 97  0  0
 0  0  10252 219416 302912 311156    0    0     0     0  563 1196  4  1 95  0  0
 0  0  10252 219416 302912 311156    0    0     0    52  676 1377  6  1 93  0  0
 3  0  10252 219416 302912 311156    0    0     0   288  653 1354  4  0 96  1  0
 0  0  10252 219448 302912 311156    0    0     0    20  611 1246  4  1 95  0  0
 0  0  10252 219448 302912 311160    0    0     4   540  563 1197  3  2 95  1  0
 0  0  10252 219416 302912 311160    0    0     0    64  585 1114  5  0 95  1  0
 3  0  10252 219416 302912 311160    0    0     0   324  630 1143  2  1 97  0  0
 0  0  10252 219416 302912 311160    0    0     0    20  571 1121  2  2 97  0  0
 0  0  10252 219416 302912 311160    0    0     0     0  543 1157  2  0 98  0  0
 0  0  10252 219416 302912 311160    0    0     0    20  591 1182  4  1 94  0  0
 0  0  10252 219416 302916 311160    0    0     0    80  575 1176  3  1 96  1  0
 0  0  10252 219416 302916 311164    0    0     4   128  630 1345  6  1 94  0  0
 0  0  10252 219448 302916 311164    0    0     0  3700  692 1508  4  0 95  0  0
 0  0  10252 219456 302916 311164    0    0     0    36  667 1266  3  2 96  0  0
 0  0  10252 219448 302916 311168    0    0     0   160  535 1138  3  1 96  0  0
 0  0  10252 219448 302916 311168    0    0     0    20  608 1277  3  0 97  0  1
 0  0  10252 219448 302916 311168    0    0     0     0  562 1150  2  1 97  0  0
 0  0  10252 219448 302916 311168    0    0     0     0  534 1094  2  1 97  0  0
 2  0  10252 219448 302916 311168    0    0     0     0  538 1209  2  1 97  0  0
 0  0  10252 219448 302916 311168    0    0     0     0  571 1353  2  0 98  0  0
 0  0  10252 219448 302916 311168    0    0     0     0  546 1368  4  1 95  0  0
 0  0  10252 219448 302920 311168    0    0     0    60  679 1508  5  1 94  1  0
 2  0  10252 219448 302924 311168    0    0     0   288  484 1268  3  0 97  1  0
 1  0  10252 219480 302924 311168    0    0     0    20  609 1400  4  1 95  0  0
 0  0  10252 219480 302924 311168    0    0     0   176  558 1333  2  1 97  1  0
 0  0  10252 219480 302924 311168    0    0     0    20  552 1245  2  1 97  0  0
 0  0  10252 219480 302924 311168    0    0     0     0  506 1259  3  0 97  0  0
 0  0  10252 219480 302924 311168    0    0     0     0  548 1254  3  0 97  0  0
 0  0  10252 219480 302924 311168    0    0     0     0  520 1258  3  1 97  0  0
