procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 882336  50636 403864    0    0   148    77  322  675 10  1 88  0  0
 0  0      0 882444  50668 403848    0    0     0   144  613 1180  4  1 94  0  0
 0  0      0 882444  50692 403848    0    0     0    76  587 1149  5  1 95  0  0
 1  0      0 882444  50708 403848    0    0     0    64  604 1261  3  0 97  0  0
 0  0      0 882444  50740 403816    0    0     0  3236  627 1410  4  3 93  1  0
 1  0      0 882476  50748 403848    0    0     0    20  574 1180  4  0 96  0  0
 0  0      0 882476  50748 403848    0    0     0     4  573 1193  4  1 95  0  0
 0  0      0 882476  50780 403848    0    0     0   292  588 1254  4  0 96  1  0
 0  0      0 882476  50780 403848    0    0     0     0  533 1071  3  1 96  0  0
 3  0      0 882476  50804 403848    0    0     0   176  560 1185  2  2 96  1  0
 0  0      0 882476  50812 403848    0    0     0    20  572 1151  4  1 96  0  0
 0  0      0 882476  50836 403852    0    0     0   184  510 1044  3  1 96  1  0
 0  0      0 882476  50836 403852    0    0     0     0  488 1021  2  1 97  0  0
 0  0      0 882508  50836 403852    0    0     0     0  563 1186  2  0 98  0  0
 1  0      0 882508  50844 403844    0    0     0    20  509 1181  3  1 96  0  0
 0  0      0 882508  50844 403852    0    0     0     0  468 1034  3  1 97  0  0
 0  0      0 882508  50868 403852    0    0     0   176  436 1025  2  1 97  1  0
 2  0      0 882508  50876 403844    0    0     0    20  541 1097  3  1 96  1  0
 0  0      0 882508  50876 403852    0    0     0     0  583 1172  3  1 96  0  0
 1  0      0 882252  50900 403852    0    0     0   176  551 1209  3  1 96  1  0
 0  0      0 882292  50908 403852    0    0     0    20  597 1213  5  1 95  0  0
 0  0      0 882292  50932 403852    0    0     0   176  568 1245  3  1 95  0  0
 1  0      0 882292  50932 403852    0    0     0     0  527 1218  2  1 97  0  0
 0  0      0 882292  50932 403852    0    0     0     0  494 1148  2  1 97  0  0
 1  0      0 882292  50940 403844    0    0     0    20  416 1049  3  0 97  1  0
 0  0      0 882292  50940 403852    0    0     0     0  508 1124  4  0 97  0  0
 0  0      0 882292  50964 403852    0    0     0   312  530 1176  4  1 96  0  0
 0  0      0 882292  50972 403844    0    0     0    44  522 1133  4  1 95  1  0
 1  0      0 882292  50972 403856    0    0     0     0  544 1149  4  0 96  0  0
 1  0      0 882036  51012 403860    0    0     4   212  618 1267  7  1 92  1  0
 0  0      0 882036  51012 403868    0    0     0     0  505 1082  3  1 96  0  0
 2  0      0 882036  51044 403868    0    0     0   308  530 1221  3  1 96  1  0
 0  0      0 882036  51052 403868    0    0     0    20  534 1105  4  1 95  0  0
 0  0      0 882036  51076 403844    0    0     0   240  607 1225  3  1 96  1  0
 1  0      0 882036  51084 403868    0    0     0    20  502 1121  4  0 96  1  0
 0  0      0 881912  51092 403868    0    0     0    20  582 1161  4  1 95  0  0
 1  0      0 881912  51092 403868    0    0     0     0  449 1080  3  1 97  0  0
 0  0      0 881912  51124 403868    0    0     0   292  494 1119  3  0 96  1  0
 4  0      0 881912  51124 403868    0    0     0     0  422 1064  2  1 97  0  0
 1  0      0 881780  51156 403836    0    0     0   192  541 1183  4  1 95  1  0
 0  0      0 881788  51156 403872    0    0     0     0  517 1095  3  1 96  0  0
 0  0      0 881788  51180 403872    0    0     0   176  520 1167  3  1 96  1  0
 1  0      0 881788  51180 403872    0    0     0     0  538 1127  3  0 97  0  0
 0  0      0 881820  51180 403872    0    0     0     0  551 1168  4  1 96  0  0
 0  0      0 881696  51188 403864    0    0     0    20  479 1128  3  1 96  0  0
 0  0      0 881696  51188 403876    0    0     0     0  492 1052  2  0 98  0  0
 0  0      0 881696  51212 403876    0    0     0   176  455 1143  1  1 97  1  0
 0  0      0 881696  51220 403868    0    0     0    20  596 1124  2  0 97  1  0
 0  0      0 881696  51220 403876    0    0     0     0  587 1212  3  1 96  0  0
 0  0      0 881564  51252 403844    0    0     0   192  656 1398  4  2 94  1  0
 0  0      0 881572  51252 403876    0    0     0     0  545 1125  2  1 98  0  0
 0  0      0 881572  51276 403852    0    0     0   176  502 1162  3  0 97  1  0
 0  0      0 881572  51276 403876    0    0     0     0  444 1037  4  1 96  0  0
 0  0      0 881572  51276 403876    0    0     0     0  422 1030  3  0 97  0  0
 0  0      0 881572  51284 403868    0    0     0    20  525 1062  3  0 97  0  0
 0  0      0 881572  51284 403876    0    0     0     0  465 1091  3  0 97  0  0
 1  0      0 881572  51308 403852    0    0     0   176  462 1123  3  1 97  1  0
 0  0      0 881572  51316 403880    0    0     0    60  488 1090  4  1 95  1  0
 0  0      0 881572  51316 403880    0    0     0     0  458 1103  2  1 97  0  0
 0  0      0 881440  51356 403840    0    0     0   208  582 1339  5  1 94  1  0
