procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 406368 161792 449424    0    0    21    87  325  667  9  1 90  0  0
 1  0      0 397900 161800 449432    0    0     0   116 1390 2392 48  4 47  0  0
 0  0      0 397156 161808 449428    0    0     4   136 1337 2498 48  4 48  0  0
 0  0      0 396968 161816 449448    0    0     0    80 1328 2413 31  4 65  1  0
 1  0      0 396968 161828 449436    0    0     0   100  659 1198  4  2 94  0  0
 0  0      0 396968 161836 449448    0    0     0    96  557 1119  4  0 96  0  0
 0  0      0 396968 161856 449428    0    0     0  3816  663 1434  4  2 94  1  0
 0  0      0 397000 161856 449456    0    0     4    32  539 1169  2  1 97  1  0
 0  0      0 397000 161876 449436    0    0     0   272  596 1277  3  1 96  1  0
 0  0      0 397000 161884 449456    0    0     0    36  579 1183  5  1 94  0  0
 0  0      0 396808 161884 449456    0    0     0     0  621 1092  2  1 96  0  0
 0  0      0 396808 161900 449456    0    0     0   240  516 1189  4  1 95  1  0
 1  0      0 396808 161900 449456    0    0     0    20  531 1060  3  0 97  0  0
 0  0      0 396676 161900 449456    0    0     0     0  526 1159  3  0 97  0  0
 0  0      0 396684 161900 449456    0    0     0     0  442 1080  2  1 97  0  0
 0  0      0 396684 161900 449456    0    0     0    20  480 1143  3  1 96  1  0
 0  0      0 396684 161916 449440    0    0     0   160  507 1177  2  1 97  1  0
 0  0      0 396684 161928 449468    0    0     4   588  561 1170  4  1 95  0  0
 0  0      0 396560 161940 449456    0    0     0   372  559 1224  3  0 97  1  0
 1  0      0 396560 161944 449472    0    0     0    36  610 1108  4  1 95  0  0
 0  0      0 396560 161944 449472    0    0     0     0  548  975  3  0 97  0  0
 2  0      0 396560 161964 449452    0    0     0   240  501 1036  3  1 96  1  0
 2  0      0 396560 161964 449472    0    0     0    20  470 1047  3  1 97  0  0
 2  0      0 396256 161964 449472    0    0     0     0  519 1063  3  0 97  0  0
 1  0      0 396312 161964 449472    0    0     0     0  466 1055  3  1 97  0  0
 2  0      0 396312 161964 449472    0    0     0    20  526 1146  4  1 95  1  0
 1  0      0 396312 161980 449456    0    0     0   160  492 1154  3  1 96  1  0
 1  0      0 396312 161988 449472    0    0     0    20  556 1149  3  0 97  0  0
 1  0      0 396312 161988 449472    0    0     0     4  495 1099  3  1 97  0  0
 1  0      0 396312 161996 449464    0    0     0    52  634 1159  6  2 91  0  0
 0  0      0 396344 161996 449472    0    0     0     0  628 1183  8  0 93  0  0
 0  0      0 396344 162012 449456    0    0     4    64  857 1633 20  2 78  0  0
 0  0      0 396408 162020 449476    0    0     0    20  540 1167  4  0 95  0  0
 0  0      0 396408 162028 449468    0    0     0   784  638 1287  4  1 95  0  0
 0  0      0 396408 162036 449476    0    0     0    36  644 1136  4  1 95  1  0
 0  0      0 396408 162040 449472    0    0     0    20  529 1060  4  1 96  0  0
 0  0      0 396408 162052 449476    0    0     0   260  542 1173  2  1 97  1  0
 0  0      0 396408 162060 449468    0    0     0    20  515 1127  2  1 98  0  0
 0  0      0 396408 162060 449476    0    0     0     0  528 1169  3  0 97  0  0
 0  0      0 396408 162068 449468    0    0     0    36  545 1140  4  0 95  1  0
 0  0      0 396408 162068 449476    0    0     0     0  499 1082  3  0 97  0  0
 0  0      0 396408 162076 449468    0    0     0   224  578 1059  3  1 97  0  0
 0  0      0 396284 162080 449480    0    0     0    20  511  987  2  0 97  1  0
 0  0      0 396412 162080 449480    0    0     0     0  570 1172  3  0 96  0  0
 0  0      0 396408 162080 449480    0    0     0     0  509 1058  2  1 97  0  0
 0  0      0 396408 162080 449484    0    0     4    24  579 1155  3  1 96  0  0
 0  0      0 396408 162092 449476    0    0     0   160  625 1221  3  1 96  1  0
 0  0      0 396408 162096 449488    0    0     0    20  555 1122  3  0 97  0  0
 0  0      0 396408 162096 449488    0    0     0     0  529 1119  4  0 95  0  0
 0  0      0 396408 162108 449476    0    0     0    36  610 1196  4  1 95  1  0
 0  0      0 396440 162108 449488    0    0     0     0  527 1196  3  1 97  0  0
 0  0      0 396440 162116 449480    0    0     0   224  530 1186  2  0 98  0  0
 0  0      0 396440 162120 449488    0    0     0    20  496 1092  2  1 97  1  0
 1  0      0 396260 162120 449488    0    0     0     0  532 1203  3  1 97  0  0
 0  0      0 396316 162120 449488    0    0     0     0  522 1145  4  1 96  0  0
 2  0      0 396316 162128 449480    0    0     0    20  847 1529 23  2 75  0  0
 0  0      0 396348 162132 449492    0    0     0    48  708 1461 22  1 77  1  0
 0  0      0 396348 162140 449484    0    0     0   260  506 1229  3  1 96  1  0
 0  0      0 396348 162140 449492    0    0     0    20  564 1181  4  0 96  0  0
 1  0      0 396348 162160 449472    0    0     4    56  662 1237  6  1 93  0  0
