procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 381628 180640 457288    0    0    17    83  320  657  9  1 90  0  0
 0  0      0 382008 180640 457296    0    0     0     0  623 1294  3  1 97  0  0
 0  0      0 382008 180648 457288    0    0     4  1220  684 1506  3  1 96  1  0
 2  0      0 382008 180652 457300    0    0     0   100  633 1293  4  0 96  0  0
 0  0      0 382008 180656 457296    0    0     0    36  698 1427  5  1 94  0  0
 1  0      0 373296 180664 457300    0    0     0    40 1303 2186 47  4 50  0  0
 1  0      0 364240 180664 457308    0    0     0     0 1182 2148 48  3 49  0  0
 1  0      0 363028 180668 457304    0    0     0    68 1249 2582 47  3 50  0  0
 0  0      0 362968 180668 457448    0    0     0     0 1345 2327 45  4 51  0  0
 0  0      0 362716 180676 457440    0    0     4    64  796 1571 10  2 88  0  0
 0  0      0 362684 180676 457452    0    0     0     0  608 1309  3  1 97  0  0
 0  0      0 362684 180688 457440    0    0     0   600  618 1377  3  1 96  1  0
 1  0      0 362684 180696 457460    0    0     4    44  618 1323  3  0 96  1  0
 0  0      0 362684 180696 457460    0    0     0    20  645 1348  4  2 95  0  0
 1  0      0 362684 180700 457456    0    0     0    36  745 1419  5  0 94  1  0
 0  0      0 362684 180712 457464    0    0     4   620  714 1441  5  1 95  0  0
 0  0      0 362684 180720 457456    0    0     0    64  639 1328  3  1 96  1  0
 0  0      0 362588 180732 457464    0    0     0  3944  678 1554  4  1 95  1  0
 0  0      0 362620 180732 457464    0    0     0     0  573 1254  3  1 96  0  0
 0  0      0 362496 180736 457460    0    0     0    36  725 1471  6  1 93  1  0
 0  0      0 362496 180736 457464    0    0     0     0  537 1143  2  1 97  0  0
 0  0      0 362496 180740 457460    0    0     0   276  582 1165  3  1 96  0  0
 0  0      0 362496 180740 457476    0    0     4    36  579 1273  3  1 96  1  0
 1  0      0 362496 180740 457476    0    0     0     0  856 1604 24  2 75  0  0
 0  0      0 362436 180748 457480    0    0     0   704  899 1591 21  1 78  1  0
 0  0      0 362436 180756 457472    0    0     0   536  631 1351  4  0 96  1  0
 0  0      0 362436 180756 457480    0    0     0     0  631 1331  4  0 96  0  0
 0  0      0 362436 180756 457480    0    0     0     0  603 1345  3  0 97  0  0
 0  0      0 362436 180756 457480    0    0     0     0  576 1248  3  1 96  0  0
 0  0      0 362304 180756 457480    0    0     0   240  670 1399  3  1 96  0  0
 0  0      0 362312 180756 457480    0    0     0     0  642 1354  3  1 96  0  0
 0  0      0 362312 180764 457472    0    0     0   176  610 1291  3  0 96  1  0
 0  0      0 362312 180764 457480    0    0     0     0  547 1231  2  1 97  0  0
 0  0      0 362312 180764 457480    0    0     0     0  510 1186  3  0 97  0  0
 0  0      0 362312 180776 457468    0    0     4    56  650 1235  5  1 94  1  0
 0  0      0 362312 180780 457484    0    0     0   240  610 1187  3  1 96  1  0
 0  0      0 362312 180780 457484    0    0     0     0  465 1099  2  1 97  0  0
 0  0      0 362312 180780 457484    0    0     0     0  593 1285  3  1 97  0  0
 0  0      0 362312 180780 457484    0    0     0     0  600 1297  2  1 98  0  0
 0  0      0 362320 180780 457484    0    0     0    84  666 1383  4  0 96  0  0
 0  0      0 362344 180780 457484    0    0     0     0  637 1287  3  1 96  0  0
 0  0      0 362344 180796 457468    0    0     0   176  627 1325  1  1 98  1  0
 0  0      0 362344 180796 457484    0    0     0     0  600 1325  2  0 98  0  0
 0  0      0 362344 180804 457476    0    0     0    20  623 1294  4  1 95  1  0
 0  0      0 362344 180816 457484    0    0     0    36  685 1405  6  1 93  0  0
 1  0      0 362344 180836 457468    0    0     0   340  686 1409  4  1 94  1  0
 0  0      0 362344 180844 457488    0    0     0    20  560 1160  3  1 96  0  0
 0  0      0 362344 180848 457484    0    0     0   240  585 1212  3  0 97  1  0
 0  0      0 362344 180848 457488    0    0     0     0  512 1104  4  0 96  0  0
 0  0      0 362220 180852 457484    0    0     0    36  717 1338  6  1 93  1  0
 0  0      0 362220 180852 457488    0    0     0     0  640 1340  3  1 96  0  0
 0  0      0 362220 180856 457484    0    0     0   276  636 1349  3  1 95  1  0
 0  0      0 362220 180856 457488    0    0     0     0  635 1310  3  1 96  0  0
 0  0      0 362220 180856 457488    0    0     0     0  632 1308  2  1 97  0  0
 0  0      0 362220 180860 457484    0    0     0    40  676 1344  6  1 93  0  0
 0  0      0 362220 180864 457488    0    0     0   304  676 1344  3  1 96  1  0
 0  0      0 362252 180864 457488    0    0     0     0  582 1167  3  0 97  0  0
 0  0      0 362252 180864 457488    0    0     0     0  615 1310  4  1 96  0  0
 0  0      0 362252 180864 457488    0    0     0     0  541 1195  3  1 97  0  0
 0  0      0 362112 180876 457476    0    0     4    96  635 1395  3  2 95  0  0
