procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   6156 230456 264464 404732    0    0     7    75  306  632  7  1 92  0  0
 0  0   6156 230744 264464 404736    0    0     0     0  603 1259  2  1 97  0  0
 0  0   6156 230744 264464 404736    0    0     0   192  674 1368  2  1 97  1  0
 0  0   6156 230840 264472 404752    0    0     0  6520  725 1663  4  1 95  1  0
 1  0   6156 222656 264472 404752    0    0     0    44 1275 2101 47  3 51  0  0
 1  0   6156 213260 264472 404752    0    0     0     0 1174 2135 48  4 48  0  0
 1  0   6156 212548 264472 404752    0    0     0     0 1292 2493 47  4 50  0  0
 1  0   6156 211920 264472 404760    0    0     0   108 1641 3008 59  3 38  0  0
 0  0   6156 211952 264472 404768    0    0     4    72  734 1455  5  2 93  1  0
 0  0   6156 211952 264472 404772    0    0     4    40  626 1332  6  1 94  0  0
 0  0   6156 211952 264476 404772    0    0     0   108  587 1274  4  1 96  0  0
 0  0   6156 211920 264476 404772    0    0     0  5308  692 1544  3  1 95  1  0
 0  0   6156 211920 264476 404776    0    0     4    24  575 1138  5  1 95  0  0
 0  0   6156 211920 264488 404776    0    0     0   176  587 1136  3  1 96  1  0
 0  0   6156 211920 264488 404776    0    0     0     0  595 1141  4  1 96  0  0
 0  0   6156 211656 264488 404776    0    0     0     0  495 1120  3  1 96  0  0
 0  0   6156 211672 264488 404776    0    0     0     0  475  936  2  1 97  0  0
 0  0   6156 211672 264492 404776    0    0     0    20  493 1084  4  1 96  0  0
 0  0   6156 211672 264492 404776    0    0     0    36  489 1122  2  1 97  1  0
 0  0   6156 211672 264492 404776    0    0     0    56  583 1252  4  1 95  0  0
 0  0   6156 211672 264492 404776    0    0     0    20  609 1193  4  0 96  0  0
 0  0   6156 211672 264500 404776    0    0     0   664  592 1135  3  1 96  1  0
 0  0   6156 211672 264508 404780    0    0     4    40  648 1222  6  1 93  0  0
 0  0   6156 211672 264508 404780    0    0     0     0  527 1071  4  1 95  0  0
 0  0   6156 211672 264508 404780    0    0     0   316  571 1137  3  1 96  1  0
 1  0   6156 211548 264508 404780    0    0     0     0  655 1140  5  0 94  0  0
 1  0   6156 211548 264508 404780    0    0     0    20  584 1002  3  0 96  1  0
 0  0   6156 211548 264520 404780    0    0     0   320  611 1181  4  1 95  1  0
 0  0   6156 211548 264520 404792    0    0     4    48  556 1139  3  0 97  0  0
 0  0   6156 211548 264524 404792    0    0     0   256  667 1273  5  1 95  0  0
 0  0   6156 211548 264524 404792    0    0     0     0  562 1184  3  0 97  0  0
 0  0   6156 211424 264524 404796    0    0     0   516  585 1260  3  1 96  1  0
 0  0   6156 211456 264524 404796    0    0     0    20  677 1280  8  1 91  0  0
 0  0   6156 211520 264528 404800    0    0     4    32  770 1541 17  2 81  1  0
 0  0   6156 211552 264532 404800    0    0     0   628  534 1250  3  1 96  0  0
 1  0   6156 211552 264532 404800    0    0     0     0  539 1227  3  1 96  0  0
 0  0   6156 211552 264532 404800    0    0     0     0  497 1162  2  1 97  0  0
 0  0   6156 211552 264532 404800    0    0     0    32  581 1207  5  1 93  0  0
 0  0   6156 211552 264532 404800    0    0     0     0  534 1141  3  1 96  0  0
 0  0   6156 211552 264544 404800    0    0     0   176  563 1222  3  1 95  1  0
 0  0   6156 211552 264544 404800    0    0     0    48  570 1154  2  1 97  0  0
 0  0   6156 211552 264544 404800    0    0     0   172  577 1161  2  0 98  0  0
 0  0   6156 211552 264544 404800    0    0     0    20  579 1169  4  1 96  0  0
 0  0   6156 211552 264544 404800    0    0     0   176  564 1256  3  0 96  0  0
 0  0   6156 211552 264544 404800    0    0     0     0  612 1254  3  1 96  0  0
 0  0   6156 211552 264544 404804    0    0     0     0  625 1366  4  1 96  0  0
 0  0   6156 211552 264544 404804    0    0     0     0  608 1337  5  1 94  0  0
 0  0   6156 211552 264544 404804    0    0     0    20  657 1388  3  1 96  1  0
 0  0   6156 211552 264544 404804    0    0     0     0  516 1133  3  1 97  0  0
 0  0   6156 211552 264552 404804    0    0     0   176  606 1229  4  1 94  0  0
 0  0   6156 211552 264552 404804    0    0     0    20  671 1253  3  1 96  0  0
 0  0   6156 211552 264560 404804    0    0     0   276  623 1241  3  1 96  1  0
 0  0   6156 211552 264560 404808    0    0     4    40  706 1372  7  0 93  0  0
 0  0   6156 211584 264560 404808    0    0     0     0  615 1185  2  1 97  0  0
 2  0   6156 211584 264564 404808    0    0     0   292  657 1261  4  1 95  1  0
 0  0   6156 211584 264564 404808    0    0     0    20  682 1426  5  1 94  1  0
 0  0   6156 211584 264564 404808    0    0     0     0  516 1108  3  0 97  0  0
 0  0   6156 211584 264568 404808    0    0     0   256  629 1279  4  1 95  1  0
 1  0   6156 211584 264568 404808    0    0     0     0  572 1154  4  1 96  0  0
 0  0   6156 211584 264568 404808    0    0     0   176  683 1260  4  0 95  1  0
