ID,FAULT_TYPE,CODE LINE,TRANSFORMED CODE,FILE,UNIT TEST LOG,FUNCTIONAL TEST LOG,INTEGRATION TEST LOG,UNIT TEST RESULT,UNIT RATIO,FUNCTIONAL TEST RESULT,FUNCTIONAL TEST RATIO,INTEGRATION TEST RESULT,INTEGRATION TEST RATIO,UNIT TEST TOTAL RESULTS,FUNCTIONAL TEST TOTAL RESULTS,INTEGRATION TEST TOTAL RESULTS
1,MPFC,87,MPFC_87_transformed_code_1.py,resources/api.py,21022025125357_unit_result_87,21022025125357_functional_result_87,,True,0/0,True,0/0,False,NA,,,NA
2,MPFC,89,MPFC_89_transformed_code_2.py,resources/api.py,21022025125407_unit_result_89,21022025125407_functional_result_89,,True,0/0,True,0/0,False,NA,,,NA
3,MPFC,123,MPFC_123_transformed_code_3.py,resources/api.py,21022025125418_unit_result_123,21022025125418_functional_result_123,,True,0/0,True,0/0,False,NA,,,NA
4,MPFC,124,MPFC_124_transformed_code_4.py,resources/api.py,21022025125426_unit_result_124,21022025125426_functional_result_124,,True,0/0,True,0/0,False,NA,,,NA
5,MPFC,125,MPFC_125_transformed_code_5.py,resources/api.py,21022025125435_unit_result_125,21022025125435_functional_result_125,,True,0/0,True,0/0,False,NA,,,NA
6,MPFC,126,MPFC_126_transformed_code_6.py,resources/api.py,21022025125443_unit_result_126,21022025125443_functional_result_126,,True,0/0,True,0/0,False,NA,,,NA
7,MPFC,129,MPFC_129_transformed_code_7.py,resources/api.py,21022025125454_unit_result_129,21022025125454_functional_result_129,,True,0/0,True,0/0,False,NA,,,NA
8,MPFC,133,MPFC_133_transformed_code_8.py,resources/api.py,21022025125502_unit_result_133,21022025125502_functional_result_133,,True,0/0,True,0/0,False,NA,,,NA
9,MPFC,146,MPFC_146_transformed_code_9.py,resources/api.py,21022025125518_unit_result_146,21022025125518_functional_result_146,,True,0/0,True,0/0,False,NA,,,NA
10,MPFC,151,MPFC_151_transformed_code_10.py,resources/api.py,21022025125521_unit_result_151,21022025125521_functional_result_151,,True,0/0,True,0/0,False,NA,,,NA
11,MPFC,157,MPFC_157_transformed_code_11.py,resources/api.py,21022025125534_unit_result_157,21022025125534_functional_result_157,,True,0/0,True,0/0,False,NA,,,NA
12,MPFC,157,MPFC_157_transformed_code_12.py,resources/api.py,21022025125542_unit_result_157,21022025125542_functional_result_157,,True,0/0,True,0/0,False,NA,,,NA
13,MPFC,165,MPFC_165_transformed_code_13.py,resources/api.py,21022025125550_unit_result_165,21022025125550_functional_result_165,,True,0/0,True,0/0,False,NA,,,NA
14,MPFC,166,MPFC_166_transformed_code_14.py,resources/api.py,21022025125557_unit_result_166,21022025125557_functional_result_166,,True,0/0,True,0/0,False,NA,,,NA
15,MPFC,169,MPFC_169_transformed_code_15.py,resources/api.py,21022025125607_unit_result_169,21022025125607_functional_result_169,,True,0/0,True,0/0,False,NA,,,NA
16,MPFC,178,MPFC_178_transformed_code_16.py,resources/api.py,21022025125619_unit_result_178,21022025125619_functional_result_178,,True,0/0,True,0/0,False,NA,,,NA
17,MPFC,182,MPFC_182_transformed_code_17.py,resources/api.py,21022025125629_unit_result_182,21022025125629_functional_result_182,,True,0/0,True,0/0,False,NA,,,NA
