componente_id,nodo_id,num_puntos,prefijo_mayoritario,porcentaje
0,cube0_cluster0,60,WSUT,100.0
1,cube1_cluster0,60,WSUT,100.0
2,cube7_cluster0,60,WSUT,100.0
2,cube2_cluster0,60,WSUT,100.0
3,cube11_cluster0,59,WLEC,100.0
3,cube4_cluster0,62,WLEC,100.0
3,cube10_cluster0,58,WLEC,100.0
4,cube21_cluster0,58,WSUT,100.0
4,cube22_cluster0,168,WSUT,100.0
4,cube18_cluster0,59,WSUT,100.0
4,cube20_cluster0,234,WSUT,54.7
4,cube23_cluster0,57,WSUT,100.0
4,cube14_cluster0,177,WLEC,65.54
4,cube19_cluster0,53,WLEC,92.45
4,cube13_cluster0,182,WLEC,98.9
5,cube24_cluster0,60,MRS,100.0
5,cube25_cluster0,52,MRS,100.0
6,cube28_cluster0,60,WVAE,100.0
6,cube35_cluster0,125,WVAE,100.0
6,cube29_cluster0,57,WVAE,100.0
6,cube36_cluster0,222,WVAE,100.0
7,cube44_cluster0,20,MRS,100.0
7,cube40_cluster0,58,MRS,100.0
8,cube45_cluster0,56,MRS,100.0
8,cube41_cluster0,120,MRS,100.0
9,cube43_cluster0,61,MRS,100.0
10,cube49_cluster0,62,MRS,100.0
11,cube51_cluster0,57,WVAE,100.0
11,cube60_cluster0,65,WVAE,100.0
11,cube58_cluster0,57,WVAE,100.0
11,cube52_cluster0,115,WVAE,100.0
12,cube55_cluster0,57,MRS,100.0
12,cube62_cluster0,121,MRS,100.0
12,cube56_cluster0,58,MRS,100.0
13,cube69_cluster0,59,WVAE,100.0
13,cube116_cluster0,113,WVAE,100.0
13,cube70_cluster0,55,WVAE,100.0
13,cube97_cluster0,67,WVAE,100.0
13,cube88_cluster0,125,WVAE,100.0
13,cube98_cluster0,60,WVAE,100.0
13,cube99_cluster0,53,WVAE,100.0
13,cube89_cluster0,125,WVAE,100.0
13,cube80_cluster0,68,WVAE,100.0
13,cube112_cluster0,167,WVAE,100.0
13,cube76_cluster0,123,WVAE,100.0
13,cube95_cluster0,53,WVAE,100.0
13,cube111_cluster0,63,WVAE,100.0
13,cube115_cluster0,109,WVAE,100.0
14,cube73_cluster0,118,MRS,100.0
15,cube82_cluster0,119,MRS,100.0
15,cube125_cluster0,174,MRS,100.0
15,cube138_cluster0,113,MRS,100.0
15,cube86_cluster0,57,MRS,100.0
15,cube110_cluster0,118,MRS,100.0
15,cube92_cluster0,115,MRS,100.0
15,cube93_cluster0,166,MRS,100.0
15,cube126_cluster0,61,MRS,100.0
15,cube139_cluster0,55,MRS,100.0
15,cube109_cluster0,125,MRS,100.0
15,cube137_cluster0,115,MRS,100.0
15,cube83_cluster0,58,MRS,100.0
15,cube107_cluster0,60,MRS,100.0
15,cube129_cluster0,61,MRS,100.0
16,cube119_cluster0,58,MIA,100.0
16,cube135_cluster0,54,MIA,100.0
16,cube102_cluster0,38,MIA,100.0
16,cube134_cluster0,54,MIA,100.0
16,cube117_cluster0,120,MIA,100.0
16,cube101_cluster0,17,MIA,100.0
16,cube118_cluster0,76,MIA,100.0
16,cube121_cluster0,57,MIA,100.0
17,cube103_cluster0,60,MIA,100.0
18,cube127_cluster0,64,MRS,100.0
19,cube132_cluster0,171,WVAE,100.0
19,cube143_cluster0,148,WVAE,100.0
20,cube133_cluster0,58,MIA,100.0
21,cube141_cluster0,50,WVAE,100.0
21,cube151_cluster0,124,WVAE,100.0
21,cube164_cluster0,60,WVAE,100.0
21,cube152_cluster0,124,WVAE,100.0
22,cube148_cluster0,55,MRS,100.0
23,cube149_cluster0,54,MRS,100.0
24,cube162_cluster0,59,WVAE,100.0
24,cube165_cluster0,59,WVAE,100.0
25,cube189_cluster0,59,MRS,100.0
25,cube175_cluster0,59,MRS,100.0
25,cube171_cluster0,59,MRS,100.0
25,cube193_cluster0,59,MRS,100.0
26,cube191_cluster0,61,MRS,100.0
26,cube173_cluster0,62,MRS,100.0
26,cube174_cluster0,81,MRS,100.0
26,cube190_cluster0,119,MRS,100.0
26,cube192_cluster0,117,MRS,100.0
27,cube183_cluster0,51,MVIV,100.0
27,cube188_cluster0,54,MVIV,100.0
28,cube185_cluster0,43,MVIV,100.0
28,cube186_cluster0,58,MVIV,100.0
29,cube198_cluster0,57,WVAL,100.0
29,cube195_cluster0,123,WVAL,100.0
30,cube256_cluster0,230,WVAL,100.0
30,cube239_cluster0,61,WVAL,100.0
30,cube240_cluster0,68,WVAL,100.0
30,cube238_cluster0,70,WVAL,100.0
