componente_id,nodo_id,num_puntos,prefijo_mayoritario,porcentaje
0,cube0_cluster0,60,WSUT,100.0
1,cube5_cluster0,44,WSUT,100.0
1,cube9_cluster0,41,WSUT,100.0
2,cube12_cluster0,60,WSUT,100.0
3,cube13_cluster0,116,WSUT,100.0
3,cube14_cluster0,56,WSUT,100.0
4,cube15_cluster0,116,WSUT,100.0
5,cube27_cluster0,113,WVAE,100.0
5,cube23_cluster0,94,WVAE,100.0
5,cube22_cluster0,115,WVAE,100.0
5,cube26_cluster0,108,WVAE,100.0
6,cube30_cluster0,56,WVAE,100.0
7,cube39_cluster0,61,WVAE,100.0
7,cube40_cluster0,56,WVAE,100.0
8,cube43_cluster0,84,WVAE,100.0
8,cube53_cluster0,117,WVAE,100.0
8,cube44_cluster0,114,WVAE,100.0
8,cube49_cluster0,63,WVAE,100.0
8,cube52_cluster0,117,WVAE,100.0
8,cube55_cluster0,58,WVAE,100.0
8,cube57_cluster0,62,WVAE,100.0
8,cube50_cluster0,114,WVAE,100.0
9,cube64_cluster0,131,WVAE,100.0
9,cube61_cluster0,68,WVAE,100.0
9,cube65_cluster0,113,WVAE,100.0
10,cube69_cluster0,58,WVAE,100.0
10,cube72_cluster0,59,WVAE,100.0
10,cube70_cluster0,56,WVAE,100.0
10,cube67_cluster0,112,WVAE,100.0
10,cube68_cluster0,59,WVAE,100.0
10,cube71_cluster0,171,WVAE,100.0
11,cube74_cluster0,59,WVAE,100.0
11,cube73_cluster0,59,WVAE,100.0
12,cube78_cluster0,63,WVAL,100.0
12,cube90_cluster0,185,WVAL,100.0
12,cube79_cluster0,60,WVAL,100.0
12,cube85_cluster0,113,WVAL,100.0
12,cube92_cluster0,116,WVAL,100.0
12,cube84_cluster0,120,WVAL,100.0
12,cube87_cluster0,115,WVAL,100.0
12,cube91_cluster0,35,WVAL,100.0
12,cube88_cluster0,44,WVAL,100.0
12,cube89_cluster0,73,WVAL,100.0
13,cube110_cluster0,103,WIDS,100.0
13,cube100_cluster0,21,WIDS,100.0
13,cube124_cluster0,58,WIDS,100.0
13,cube109_cluster0,53,WIDS,100.0
14,cube105_cluster0,13,WLEC,100.0
15,cube116_cluster0,13,WLEC,100.0
16,cube136_cluster0,55,WLEC,100.0
16,cube198_cluster0,55,WLEC,100.0
16,cube135_cluster0,116,WLEC,100.0
16,cube197_cluster0,30,WLEC,100.0
16,cube372_cluster0,195,WLEC,100.0
16,cube134_cluster0,64,WLEC,100.0
16,cube435_cluster0,54,WLEC,100.0
16,cube306_cluster0,115,WLEC,100.0
16,cube146_cluster0,55,WLEC,100.0
16,cube144_cluster0,147,WLEC,100.0
16,cube305_cluster0,116,WLEC,100.0
16,cube371_cluster0,50,WLEC,100.0
16,cube184_cluster0,43,WLEC,100.0
16,cube145_cluster0,165,WLEC,100.0
16,cube245_cluster0,223,WLEC,100.0
16,cube185_cluster0,62,WLEC,100.0
16,cube244_cluster0,59,WLEC,100.0
16,cube295_cluster0,55,WLEC,100.0
16,cube373_cluster0,106,WLEC,100.0
16,cube119_cluster0,60,WLEC,100.0
17,cube367_cluster0,209,WLEC,100.0
17,cube139_cluster0,68,WLEC,100.0
17,cube190_cluster0,179,WLEC,100.0
17,cube366_cluster0,120,WLEC,100.0
17,cube177_cluster0,14,WLEC,100.0
17,cube299_cluster0,292,WLEC,100.0
17,cube238_cluster0,154,WLEC,100.0
17,cube298_cluster0,22,WLEC,100.0
17,cube368_cluster0,25,WLEC,100.0
17,cube432_cluster0,113,WLEC,100.0
17,cube189_cluster0,63,WLEC,100.0
17,cube312_cluster0,22,WLEC,100.0
17,cube300_cluster0,74,WLEC,100.0
17,cube313_cluster0,108,WLEC,100.0
17,cube191_cluster0,110,WLEC,100.0
17,cube433_cluster0,208,WLEC,100.0
17,cube239_cluster0,65,WLEC,100.0
17,cube250_cluster0,195,WLEC,100.0
17,cube251_cluster0,61,WLEC,100.0
18,cube155_cluster0,59,WIDS,100.0
18,cube209_cluster0,58,WIDS,100.0
18,cube210_cluster0,58,WIDS,100.0
18,cube156_cluster0,58,WIDS,100.0
19,cube222_cluster0,20,WLEC,100.0
19,cube284_cluster0,110,WLEC,100.0
19,cube285_cluster0,65,WLEC,100.0
19,cube423_cluster0,47,WLEC,100.0
19,cube348_cluster0,56,WLEC,100.0
19,cube224_cluster0,54,WLEC,100.0
19,cube414_cluster0,54,WLEC,100.0
19,cube293_cluster0,84,WLEC,100.0
19,cube283_cluster0,65,WLEC,100.0
19,cube225_cluster0,68,WLEC,100.0
19,cube289_cluster0,240,WLEC,100.0
19,cube292_cluster0,240,WLEC,100.0
19,cube351_cluster0,111,WLEC,100.0
19,cube422_cluster0,55,WLEC,100.0
19,cube286_cluster0,69,WLEC,100.0
19,cube288_cluster0,292,WLEC,100.0
19,cube415_cluster0,56,WLEC,100.0
19,cube229_cluster0,67,WLEC,100.0
19,cube417_cluster0,54,WLEC,100.0
19,cube231_cluster0,60,WLEC,100.0
19,cube174_cluster0,76,WLEC,100.0
19,cube357_cluster0,62,WLEC,100.0
19,cube282_cluster0,170,WLEC,100.0
19,cube358_cluster0,112,WLEC,100.0
19,cube228_cluster0,54,WLEC,100.0
19,cube355_cluster0,58,WLEC,100.0
19,cube290_cluster0,56,WLEC,100.0
19,cube360_cluster0,166,WLEC,100.0
19,cube230_cluster0,128,WLEC,100.0
19,cube175_cluster0,118,WLEC,100.0
19,cube291_cluster0,227,WLEC,100.0
19,cube352_cluster0,114,WLEC,100.0
19,cube234_cluster0,129,WLEC,100.0
19,cube233_cluster0,172,WLEC,100.0
19,cube354_cluster0,117,WLEC,100.0
20,cube196_cluster0,60,WLEC,100.0
20,cube195_cluster0,62,WLEC,100.0
21,cube206_cluster0,55,WIDS,100.0
21,cube263_cluster0,58,WIDS,100.0
21,cube265_cluster0,56,WIDS,100.0
21,cube264_cluster0,55,WIDS,100.0
21,cube208_cluster0,112,WIDS,100.0
21,cube266_cluster0,55,WIDS,100.0
22,cube241_cluster0,123,WLEC,100.0
23,cube310_cluster0,109,WLEC,100.0
23,cube247_cluster0,57,WLEC,100.0
23,cube248_cluster0,55,WLEC,100.0
23,cube309_cluster0,55,WLEC,100.0
24,cube254_cluster0,60,WLEC,100.0
25,cube400_cluster0,58,WVIV,100.0
25,cube335_cluster0,60,WVIV,100.0
25,cube401_cluster0,121,WVIV,100.0
25,cube267_cluster0,59,WVIV,100.0
25,cube340_cluster0,54,WVIV,100.0
25,cube270_cluster0,54,WVIV,100.0
25,cube336_cluster0,68,WVIV,100.0
26,cube269_cluster0,110,WVIV,100.0
27,cube272_cluster0,14,WLEC,100.0
28,cube279_cluster0,56,WLEC,100.0
28,cube345_cluster0,119,WLEC,100.0
28,cube344_cluster0,55,WLEC,100.0
28,cube278_cluster0,117,WLEC,100.0
29,cube303_cluster0,107,WLEC,100.0
29,cube302_cluster0,112,WLEC,100.0
30,cube307_cluster0,115,WLEC,100.0
31,cube563_cluster0,112,MVIE,100.0
31,cube478_cluster0,167,MVIE,100.0
31,cube640_cluster0,166,MVIE,100.0
31,cube561_cluster0,60,MVIE,100.0
31,cube554_cluster0,59,MVIE,100.0
31,cube555_cluster0,63,MVIE,100.0
31,cube394_cluster0,58,MVIE,100.0
31,cube389_cluster0,112,MVIE,100.0
31,cube645_cluster0,109,MVIE,100.0
31,cube388_cluster0,65,MVIE,100.0
31,cube322_cluster0,59,MVIE,100.0
31,cube477_cluster0,244,MVIE,100.0
31,cube390_cluster0,108,MVIE,100.0
31,cube471_cluster0,65,MVIE,100.0
31,cube325_cluster0,58,MVIE,100.0
